FID,E_NAD83,N_NAD83,ELEV,TYPE
10107;557521.957;6834944.307;566.064;GRID,,,,
10108;557512.912;6834961.11;566.403;GRID,,,,
10109;557502.594;6834979.137;566.656;GRID,,,,
10111;557492.888;6834996.76;567.014;GRID,,,,
10113;557483.76;6835013.73;567.568;GRID,,,,
10114;557473.466;6835031.923;568.26;GRID,,,,
10115;557456.084;6835021.741;568.039;GRID,,,,
10116;557465.876;6835004.348;567.299;GRID,,,,
10117;557475.824;6834986.715;566.785;GRID,,,,
10118;557485.741;6834969.118;566.502;GRID,,,,
10119;557495.495;6834951.755;566.093;GRID,,,,
10120;557505.016;6834935.094;566.156;GRID,,,,
10121;557514.482;6834916.385;565.569;GRID,,,,
10122;557523.738;6834899.573;565.778;GRID,,,,
10123;557533.636;6834881.987;565.649;GRID,,,,
10124;557543.993;6834864.548;565.685;GRID,,,,
10125;557552.982;6834846.948;565.404;GRID,,,,
10126;557562.853;6834828.954;565.264;GRID,,,,
10127;557572.346;6834812.154;565.572;GRID,,,,
10128;557582.422;6834794.36;565.548;GRID,,,,
10129;557592.126;6834776.769;565.962;GRID,,,,
10130;557601.69;6834759.347;566.203;GRID,,,,
