<L00> 343683.035 1715426.210 582.327 0 
<L01> 343729.590 1715453.086 583.836 0 7
<L02> 343770.267 1715479.569 585.196 0 
<L03> 343814.532 1715506.056 587.355 0 8
<L04> 343857.348 1715531.964 590.741 0 
<L05> 343901.182 1715556.454 603.112 0 9
<L06> 343948.319 1715581.873 629.403 0 
<L07> 343990.046 1715608.884 615.260 0 10
<L08> 344029.431 1715631.957 593.458 0 
<L09> 344072.811 1715654.045 586.493 0 11
<L10> 344046.073 1715706.985 596.948 0 
<L11> 344020.730 1715752.087 600.150 0 
<L12> 343994.823 1715795.444 608.309 0 
<L13> 343969.744 1715834.593 619.890 0 
<L14> 343947.428 1715878.222 636.743 0 
<L15> 343914.708 1715929.277 625.800 0 
<L16> 343892.797 1715968.314 620.547 0 
<L17> 343868.484 1716014.191 628.819 0 
<L18> 343843.722 1716053.524 633.213 0 
<L19> 343819.525 1716093.195 642.355 0 
<L20> 343795.083 1716144.315 640.282 0 
<L21> 343772.363 1716183.954 633.325 0 
<L22> 343743.512 1716223.658 642.896 0 
<L23> 343719.526 1716273.100 641.845 0 
<L24> 343685.138 1716317.564 661.363 0 
<L25> 343642.045 1716391.075 667.620 0 
<L26> 343602.724 1716431.291 688.947 0 
<L27> 343587.738 1716483.559 677.811 0 
<L28> 343539.233 1716498.012 656.450 0 
<L29> 343495.078 1716475.411 632.139 0 
<L30> 343452.540 1716448.427 619.719 0 
<L31> 343420.300 1716431.630 611.863 0 
<L32> 343362.382 1716401.419 618.518 0 
<L33> 343310.576 1716370.739 610.518 0 
<L34> 343272.729 1716349.968 597.619 0 
<L35> 343232.713 1716327.442 594.577 0 
<L36> 343186.369 1716301.076 592.129 0 
<L37> 343148.860 1716278.690 589.744 0 
<L38> 343099.771 1716249.528 586.930 0 
<L39> 343055.521 1716225.033 586.607 0 
<L40> 343011.832 1716198.760 584.871 0 
<L41> 342971.959 1716176.851 583.469 0 
<L42> 342928.774 1716150.780 582.317 0 
<L43> 342884.600 1716126.489 581.158 0 
<L44> 342842.132 1716102.537 580.561 0 
<L45> 342799.558 1716077.713 579.365 0 
<L46> 342752.805 1716049.313 577.492 0 
<L47> 342706.933 1716024.430 576.368 0 
<L48> 342737.171 1715972.512 575.140 0 
<L49> 342760.587 1715930.585 575.286 0 
<L50> 342789.254 1715884.814 576.235 0 
<L51> 342812.195 1715843.958 578.161 0 
<L52> 342835.352 1715804.622 579.156 0 
<L53> 342860.973 1715757.135 580.129 0 
<L54> 342886.349 1715712.467 581.302 0 
<L55> 342910.667 1715671.407 581.561 0 
<L56> 342937.313 1715629.211 580.587 0 
<L57> 342959.574 1715586.937 579.448 0 
<L58> 342987.453 1715542.468 578.086 0 
<L59> 343007.411 1715501.354 576.651 0 
<L60> 343035.118 1715454.821 576.899 0 
<L61> 343059.896 1715411.720 576.654 0 
<L62> 343085.578 1715370.041 578.003 0 
<L63> 343111.394 1715325.085 577.971 0 
<L64> 343135.270 1715283.991 577.988 0 
<L65> 343159.093 1715241.761 578.136 0 
<L66> 343183.674 1715199.946 578.013 0 
<L67> 343210.556 1715153.468 578.419 0 1
<L68> 343255.136 1715180.103 579.349 0 
<L69> 343296.293 1715205.504 580.082 0 2
<L70> 343338.245 1715231.557 580.498 0 
<L71> 343380.040 1715254.991 580.883 0 3
<L72> 343425.747 1715282.163 581.124 0 
<L73> 343466.046 1715306.402 581.219 0 4
<L74> 343513.248 1715332.301 581.353 0 
<L75> 343555.533 1715357.055 581.525 0 5
<L76> 343596.602 1715380.125 581.802 0 
<L77> 343641.830 1715405.300 582.197 0 6
