<P00> 343729.848 1715452.507 583.287 0 -0
<P01> 343754.917 1715411.362 583.527 0 -50
<P02> 343778.480 1715368.780 583.774 0 -100
<P03> 343801.972 1715323.937 588.070 0 -150
<P04> 343829.978 1715281.756 582.329 0 -200
<P05> 343852.991 1715241.001 579.021 0 -250
<P06> 343876.941 1715196.641 577.103 0 -300
<P07> 343903.123 1715151.030 576.286 0 -350
<P08> 343951.383 1715065.189 574.915 0 -450
<P09> 343975.738 1715021.822 574.526 0 -500
<P10> 343929.532 1715110.050 575.541 0 -400
<P11> 344002.453 1714979.857 573.966 0 -550
<P12> 344027.655 1714936.942 573.663 0 -600
<P13> 344053.151 1714892.593 573.149 0 -650
<P14> 344081.083 1714854.386 572.156 0 -700
<P15> 344105.953 1714808.762 572.239 0 -750
<P16> 344128.023 1714763.751 572.445 0 -800
<P17> 344151.674 1714720.715 573.182 0 -850
<P18> 344178.299 1714677.989 573.788 0 -900
<P19> 344204.083 1714634.912 573.911 0 -950
<P20> 344232.207 1714591.873 574.466 0 -1000
<P21> 344252.900 1714553.268 574.924 0 -1050
<P22> 344280.323 1714508.701 575.422 0 -1100
