<P00> 343210.748 1715153.256 576.823 0 0
<P01> 343234.680 1715112.894 579.226 0 50
<P02> 343260.439 1715070.590 579.964 0 100
<P03> 343285.342 1715028.013 579.951 0 150
<P04> 343310.824 1714986.769 580.038 0 200
<P05> 343332.815 1714940.940 579.653 0 250
<P06> 343358.102 1714900.143 579.572 0 300
<P07> 343386.812 1714855.170 579.101 0 350
<P08> 343408.884 1714813.623 578.719 0 400
<P09> 343432.937 1714767.216 578.194 0 450
<P10> 343455.087 1714725.777 577.781 0 500
<P11> 343483.327 1714682.843 577.250 0 550
<P12> 343503.555 1714637.461 576.373 0 600
<P13> 343531.418 1714598.358 576.334 0 650
<P14> 343558.422 1714553.090 576.636 0 700
<P15> 343583.079 1714507.983 577.426 0 750
<P16> 343607.380 1714464.579 577.951 0 800
<P17> 343635.861 1714421.668 577.354 0 850
<P18> 343659.487 1714379.036 578.631 0 900
<P19> 343684.001 1714333.846 579.155 0 950
<P20> 343708.742 1714292.906 579.769 0 1000
<P21> 343734.057 1714249.479 580.005 0 1050
<P22> 343753.645 1714207.716 580.137 0 1100
