<P00> 344364.810 1714555.596 575.221 0 -1100
<P01> 344340.075 1714596.077 575.026 0 -1050
<P02> 344314.519 1714640.511 574.407 0 -1000
<P03> 344288.367 1714689.255 573.531 0 -950
<P04> 344269.763 1714729.463 573.209 0 -900
<P05> 344237.835 1714771.953 572.871 0 -850
<P06> 344214.813 1714815.531 572.538 0 -800
<P07> 344189.690 1714857.859 572.098 0 -750
<P08> 344168.006 1714900.504 571.050 0 -700
<P09> 344143.582 1714944.334 572.389 0 -650
<P10> 344117.241 1714987.397 572.614 0 -600
<P11> 344088.320 1715028.856 573.088 0 -550
<P12> 344065.008 1715072.543 573.283 0 -500
<P13> 344038.696 1715114.933 573.852 0 -450
<P14> 344014.380 1715159.198 574.273 0 -400
<P15> 343989.620 1715203.657 575.183 0 -350
<P16> 343966.567 1715246.540 576.348 0 -300
<P17> 343940.821 1715290.276 577.738 0 -250
<P18> 343913.186 1715332.148 581.627 0 -200
<P19> 343890.448 1715376.343 587.541 0 -150
<P20> 343866.402 1715417.456 591.060 0 -100
<P21> 343840.509 1715459.385 587.867 0 -50
<P22> 343814.308 1715505.949 587.478 0 -0
