<P00> 343379.779 1715254.817 579.647 0 -0
<P01> 343406.744 1715210.987 580.668 0 -50
<P02> 343434.720 1715165.996 580.258 0 -100
<P03> 343461.263 1715123.806 579.786 0 -150
<P04> 343483.911 1715078.945 579.287 0 -200
<P05> 343504.861 1715038.543 578.778 0 -250
<P06> 343534.351 1714992.276 578.267 0 -300
<P07> 343555.771 1714948.327 577.859 0 -350
<P08> 343578.719 1714906.949 577.680 0 -400
<P09> 343607.481 1714865.217 577.145 0 -450
<P10> 343630.302 1714821.040 576.842 0 -500
<P11> 343655.580 1714780.063 576.256 0 -550
<P12> 343682.915 1714737.452 575.744 0 -600
<P13> 343705.116 1714693.221 574.926 0 -650
<P14> 343728.852 1714650.192 575.387 0 -700
<P15> 343756.239 1714606.767 575.621 0 -750
<P16> 343782.241 1714562.492 576.026 0 -800
<P17> 343805.667 1714521.779 576.406 0 -850
<P18> 343829.995 1714478.336 576.867 0 -900
<P19> 343857.815 1714435.609 577.134 0 -950
<P20> 343879.798 1714393.297 577.027 0 -1000
<P21> 343905.998 1714349.931 577.438 0 -1050
<P22> 343930.707 1714306.128 578.374 0 -1100
