<P00> 343839.288 1714254.356 579.329 0 1100
<P01> 343817.923 1714297.761 579.008 0 1050
<P02> 343792.551 1714343.134 578.823 0 1000
<P03> 343767.946 1714384.317 578.388 0 950
<P04> 343746.308 1714426.119 577.962 0 900
<P05> 343716.363 1714471.744 577.729 0 850
<P06> 343692.839 1714511.075 577.084 0 800
<P07> 343669.082 1714554.417 576.640 0 750
<P08> 343642.214 1714597.951 576.099 0 700
<P09> 343618.890 1714647.467 575.456 0 650
<P10> 343596.614 1714689.296 576.071 0 600
<P11> 343574.275 1714729.733 577.074 0 550
<P12> 343544.998 1714772.058 577.827 0 500
<P13> 343523.322 1714812.946 577.950 0 450
<P14> 343496.117 1714856.366 578.468 0 400
<P15> 343472.077 1714899.667 578.777 0 350
<P16> 343445.134 1714945.733 579.020 0 300
<P17> 343420.252 1714987.143 579.283 0 250
<P18> 343396.880 1715029.998 579.833 0 200
<P19> 343370.310 1715073.263 580.145 0 150
<P20> 343345.748 1715117.868 580.217 0 100
<P21> 343320.333 1715160.701 580.268 0 50
<P22> 343296.068 1715205.803 578.943 0 0
