0,180,-69.8737
10,179.6954,-69.6715
20,179.8964,-69.602
30,179.9301,-69.6226
40,180.2743,-69.6591
50,180.4559,-69.5648
60,180.785,-69.6673
70,181.0794,-69.6589
80,181.5246,-69.5279
90,181.6148,-69.4538
100,181.9206,-69.5892
110,182.1999,-69.6459
120,182.191,-69.7258
130,182.4005,-69.7797
140,182.5425,-69.8118
150,183.2103,-69.8392
160,183.6049,-69.825
170,183.9258,-69.8798
180,184.4204,-69.9152
190,184.6376,-69.963
200,184.5091,-69.9525
210,184.2309,-70.0152
220,184.2088,-70.1687
230,184.2494,-70.2375
240,184.9413,-70.284
250,184.9511,-70.3421
260,185.382,-70.2498
270,185.2187,-70.0782
280,184.9326,-70.1039
290,184.7644,-69.948
300,184.6509,-69.989
310,185.6519,-69.8037
320,185.2629,-69.8339
330,184.4653,-70.0421
340,184.5715,-69.9935
350,185.0608,-70.1089
360,185.2305,-70.0719
370,185.551,-70.1209
380,185.828,-70.1615
390,186.2323,-70.0365
400,186.8002,-70.0514
410,187.1332,-70.089
420,186.9859,-70.2835
430,187.375,-70.233
440,187.803,-70.1155
450,188.2284,-70.2859
460,188.1816,-70.1965
470,188.3161,-70.4057
480,188.4339,-70.2108
490,187.3423,-70.284
500,187.5906,-70.3798
510,188.5052,-70.2148
520,188.499,-70.1495
530,188.6675,-69.7605
540,187.9074,-69.9307
550,191.9276,-70.2146
560,191.7564,-70.3902
570,191.6678,-70.4311
580,191.122,-70.3373
590,191.0286,-70.1667
600,191.0297,-70.274
610,190.5184,-70.4121
620,190.8822,-70.2963
630,190.5009,-70.2871
640,189.9563,-70.4189
650,189.8119,-70.4437
660,189.2834,-70.353
670,188.7694,-70.4646
680,188.9902,-70.3772
690,188.7783,-70.3565
700,189.3661,-70.3223
710,189.1065,-70.3076
720,188.9501,-70.2222
730,188.8865,-70.2303
740,189.1748,-70.2843
750,189.1063,-70.3633
760,189.099,-70.3743
770,188.672,-70.3711
780,188.6029,-70.3368
