Hole_ID,Component,Easting,Northing,Elevation,Station,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6
sl12-64,X,354624.06,5402536.83,310.78,160,-33.6132,-1.79556,-0.0867655,-3.17417,-0.503938,-8.79392,-8.47181
sl12-64,X,354623.98,5402536.74,300.78,170,-31.7359,-3.21284,-1.97794,-3.54786,-3.45147,-7.8924,-8.3105
sl12-64,X,354623.90,5402536.65,290.78,180,-22.5836,-2.88768,-2.78061,-3.57866,-1.75867,-9.21009,-8.97455
sl12-64,X,354623.82,5402536.56,280.78,190,-17.0199,-0.733701,0.43887,0.18739,-0.125053,-7.0268,-6.46216
sl12-64,X,354623.73,5402536.46,270.78,200,-9.95146,-3.6546,-3.91344,-3.73028,-3.83765,-11.8569,-11.7375
sl12-64,X,354623.65,5402536.37,260.78,210,1.71512,-4.32797,-2.55085,-3.24182,-2.90891,-8.7377,-10.0759
sl12-64,X,354623.57,5402536.28,250.78,220,-14.045,-4.47007,-2.37593,-2.82414,-1.69224,-8.70906,-8.08837
sl12-64,X,354623.49,5402536.19,240.78,230,-6.60313,-1.27315,0.345805,1.5307,1.69538,-6.18842,-5.47181
sl12-64,X,354623.41,5402536.09,230.78,240,7.03894,0.347408,1.24676,0.801321,0.197077,-6.97658,-8.27224
sl12-64,X,354623.33,5402536.00,220.78,250,-9.09308,-0.863022,-1.69658,-1.66011,-1.11028,-6.29198,-4.99551
sl12-64,X,354623.25,5402535.91,210.79,260,-11.7807,-2.5618,-3.48769,-1.21825,-2.82289,-6.57108,-6.40334
sl12-64,X,354623.17,5402535.82,200.79,270,-22.0583,-1.13692,-0.233069,-0.988471,-2.49402,-6.84577,-5.77133
sl12-64,X,354623.09,5402535.73,190.79,280,-26.4337,-1.21421,-1.80074,-0.728155,-2.32096,-6.07309,-6.06073
sl12-64,X,354623.05,5402535.68,185.79,285,-18.6566,-0.57545,0.0876465,0.0285529,-1.20728,-5.14652,-4.56762
sl12-64,X,354623.01,5402535.63,180.79,290,-19.8517,-1.47056,-0.119706,-1.25062,-1.42327,-5.06064,-4.15333
sl12-64,X,354622.97,5402535.59,175.79,295,-28.3081,-0.477016,0.284177,-0.536378,0.696512,-4.94456,-5.41271
sl12-64,X,354622.93,5402535.54,170.79,300,-23.0464,-0.227227,-0.993187,-0.235662,0.779088,-5.82491,-4.63704
sl12-64,X,354622.89,5402535.49,165.79,305,-32.9564,-2.38316,-0.0341611,-0.236654,-0.267952,-5.79565,-4.76186
sl12-64,X,354622.85,5402535.45,160.79,310,-36.5251,-1.98045,0.372475,0.0752078,-2.4105,-4.13746,-4.14553
sl12-64,X,354622.77,5402535.36,150.79,320,-28.59,-0.555286,-1.85222,-0.365589,-1.15784,-3.57256,-3.88869
sl12-64,X,354622.69,5402535.26,140.79,330,-17.9564,-0.383879,0.0854908,-0.0530041,-0.521652,-4.35421,-3.8903
sl12-64,X,354622.61,5402535.17,130.79,340,-10.18,-2.18763,-0.838439,-0.600389,-1.42383,-5.02928,-6.16863
sl12-64,X,354622.53,5402535.08,120.79,350,-47.268,1.16658,-0.939147,-0.521614,-0.255656,-3.91548,-3.9681
sl12-64,X,354622.45,5402534.99,110.79,360,-69.8084,3.17974,4.5635,2.39969,2.37827,-0.814656,-2.04977
sl12-64,X,354622.37,5402534.90,100.79,370,-56.7226,0.423052,-0.217676,1.00213,0.973609,-3.53449,-2.94388
sl12-64,X,354622.29,5402534.80,90.79,380,-46.4186,1.2675,1.12069,0.875494,0.975873,-2.66596,-2.98113
sl12-64,X,354622.21,5402534.71,80.80,390,-45.5218,0.268136,0.621531,1.1518,1.795,-1.55286,-1.83313
sl12-64,Y,354625.02,5402537.94,430.77,40,279.735,0.288613,-0.319449,0.956411,-0.453149,-13.4271,-13.3184
sl12-64,Y,354624.86,5402537.75,410.77,60,176.555,1.35664,2.67175,1.81054,2.20724,-11.8773,-10.7971
sl12-64,Y,354624.70,5402537.57,390.77,80,178.309,-0.715267,-1.72774,-0.379928,-1.11646,-12.3157,-12.4399
sl12-64,Y,354624.54,5402537.38,370.77,100,165.576,0.440457,1.42667,0.378847,0.0375475,-7.37574,-6.83908
sl12-64,Y,354624.38,5402537.20,350.77,120,137.812,1.59867,0.557919,-0.0320488,-0.656882,-6.12706,-7.13241
sl12-64,Y,354624.22,5402537.02,330.78,140,92.1959,-0.0604221,-0.29391,1.36275,1.24306,-4.36241,-4.71324
sl12-64,Y,354624.14,5402536.92,320.78,150,116.325,2.16146,2.3248,1.70476,0.975386,-3.90269,-4.03499
sl12-64,Y,354624.06,5402536.83,310.78,160,75.228,0.20224,1.21766,0.399162,-0.472394,-4.59284,-5.42484
sl12-64,Y,354623.98,5402536.74,300.78,170,90.9689,-2.10207,-2.01221,-1.57265,-3.07941,-7.13701,-7.64777
sl12-64,Y,354623.90,5402536.65,290.78,180,86.6658,-0.167726,0.916488,0.52386,1.32805,-4.7593,-5.88997
