,Easting,Northing,Type,Name,Description
0,521157.0,3697395.0,Point,001,
1,520873.0,3697683.0,Point,002,
2,520574.0,3697418.0,Point,003,
3,520857.0,3697130.0,Point,004,
4,520924.0,3697526.0,Point,OCLT-1801D,
