


/> 
read_ramp 04181110
<CR>Time:2021/04/18 14:43Ramp data first polarity: 
279 279 279 278 278 278 277 279 277 278 278 279 278 278 278 277 278 277 279 278 278 278 278 279 278 279 278 278 279 278 279 278 278 278 278 279 279 278 278 280 278 278 279 278 279 278 278 278 279 278 278 279 278 278 278 278 278 278 279 278 278 278 278 279 279 281 282 283 284 286 287 290 291 293 294 295 298 298 300 300 302 303 305 307 307 309 310 312 313 314 316 315 319 319 320 323 323 325 326 327 328 330 331 333 334 335 336 338 339 340 342 343 345 346 347 349 350 351 352 354 355 357 358 358 360 361 363 364 365 366 368 369 370 372 373 374 376 376 378 379 380 381 383 384 385 387 388 389 391 391 393 394 395 396 398 399 400 401 402 404 405 407 407 409 410 411 413 413 416 416 418 419 420 421 423 424 425 428 427 428 430 430 432 433 434 435 437 437 438 440 441 443 443 445 446 447 447 449 450 451 453 453 455 456 458 459 460 461 462 463 465 466 468 468 469 471 472 472 475 475 475 478 478 479 481 481 483 485 485 485 488 488 489 491 491 492 494 494 495 497 498 499 500 501 502 503 504 503 505 505 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0418
<CR>Time:2021/04/18 14:43
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 58 42 224 13899 
9 58 57 224 13899 
9 59 12 224 13899 
9 59 27 224 13899 
9 59 42 224 13899 
9 59 57 224 13899 
10 0 12 224 13899 
10 0 27 224 13899 
10 0 42 224 13899 
10 0 57 224 13899 
10 1 12 224 13961 
10 1 27 224 13961 
10 1 42 224 13961 
10 1 57 224 13961 
10 2 12 224 13961 
10 2 27 224 13961 
10 2 42 224 13961 
10 2 57 224 13961 
10 3 12 224 13961 
10 3 27 223 13961 
10 3 42 224 13961 
10 3 57 224 13961 
10 4 12 224 13961 
10 4 27 224 13961 
10 4 42 224 13899 
10 4 57 224 13899 
10 5 12 224 13899 
10 5 27 224 13899 
10 5 42 224 13899 
10 5 57 224 13899 
10 6 12 224 13899 
10 6 27 224 13899 
10 6 42 224 13899 
10 6 57 224 13899 
10 7 12 224 13899 
10 7 27 224 13899 
10 7 42 224 13899 
10 7 57 224 13899 
10 8 12 224 13899 
10 8 27 224 13899 
10 8 42 224 13899 
10 8 57 224 13899 
10 9 12 224 13899 
10 9 27 224 13838 
10 10 19 224 13838 
10 10 34 224 13838 
10 10 49 224 13838 
10 11 4 224 13838 
10 11 19 224 13838 
10 11 34 224 13838 
10 11 49 224 13838 
10 12 4 224 13838 
10 12 19 224 13838 
10 12 34 224 13838 
10 12 49 224 13838 
10 13 4 224 13838 
10 13 19 224 13838 
10 13 34 224 13838 
10 13 49 224 13838 
10 14 4 224 13838 
10 14 19 224 13838 
10 14 34 224 13838 
10 14 49 224 13838 
10 15 4 224 13838 
10 15 19 224 13838 
10 15 34 224 13838 
10 15 49 224 13838 
10 16 4 224 13838 
10 16 19 224 13838 
10 16 34 224 13838 
10 16 49 224 13838 
10 17 4 224 13838 
10 17 19 224 13838 
10 17 34 224 13838 
10 17 49 224 13838 
10 18 4 224 13838 
10 18 19 223 13838 
10 18 34 224 13838 
10 18 49 224 13838 
10 19 4 224 13838 
10 19 19 224 13838 
10 19 34 224 13838 
10 19 49 224 13838 
10 20 4 224 13838 
10 20 19 224 13838 
10 20 34 224 13838 
10 20 49 224 13838 
10 21 4 224 13838 
10 21 19 224 13838 
10 21 34 224 13838 
10 21 49 224 13838 
10 22 4 224 13838 
10 22 19 224 13838 
10 22 34 224 13838 
10 22 49 224 13838 
10 23 4 224 13838 
10 23 19 224 13838 
10 23 34 224 13838 
10 23 49 224 13838 
10 24 4 224 13838 
10 24 19 224 13838 
10 24 34 224 13838 
10 25 11 224 13899 
10 25 26 224 13838 
10 25 41 224 13899 
10 25 56 224 13899 
10 26 11 224 13899 
10 26 26 224 13899 
10 26 41 224 13899 
10 26 56 224 13899 
10 27 11 224 13899 
10 27 26 224 13899 
10 27 41 224 13899 
10 27 56 224 13899 
10 28 11 224 13899 
10 28 26 224 13899 
10 28 41 224 13899 
10 28 56 224 13899 
10 29 11 224 13899 
10 29 26 224 13899 
10 29 41 224 13899 
10 29 56 224 13899 
10 30 11 224 13899 
10 30 26 224 13899 
10 30 41 224 13899 
10 30 56 224 13899 
10 31 11 224 13899 
10 31 26 224 13899 
10 31 41 224 13899 
10 31 56 224 13899 
10 32 11 224 13899 
10 32 26 224 13899 
10 32 41 224 13899 
10 32 56 224 13899 
10 33 11 224 13899 
10 33 26 224 13899 
10 33 41 224 13899 
10 33 56 224 13899 
10 34 11 224 13899 
10 34 26 224 13899 
10 34 41 224 13899 
10 34 56 224 13899 
10 35 11 224 13899 
10 35 26 224 13899 
10 35 41 224 13899 
10 35 56 224 13899 
10 36 11 224 13899 
10 36 26 224 13899 
10 36 41 224 13899 
10 36 56 224 13899 
10 37 11 224 13899 
10 37 26 224 13899 
10 37 41 224 13899 
10 37 56 224 13899 
10 38 11 224 13899 
10 38 26 224 13899 
10 38 41 224 13899 
10 38 56 224 13899 
10 39 11 224 13899 
10 39 26 224 13899 
10 39 41 224 13899 
10 40 33 224 13899 
10 40 48 224 13899 
10 41 3 224 13899 
10 41 18 224 13899 
10 41 33 224 13899 
10 41 48 224 13899 
10 42 3 224 13899 
10 42 18 224 13899 
10 42 33 224 13899 
10 42 48 224 13899 
10 43 3 224 13899 
10 43 18 224 13899 
10 43 33 224 13899 
10 43 48 224 13899 
10 44 3 224 13899 
10 44 18 224 13899 
10 44 33 224 13899 
10 44 48 224 13899 
10 45 3 224 13899 
10 45 18 224 13899 
10 45 33 224 13899 
10 45 48 224 13899 
10 46 3 224 13899 
10 46 18 224 13899 
10 46 33 224 13899 
10 46 48 224 13899 
10 47 3 224 13899 
10 47 18 224 13838 
10 47 33 224 13838 
10 47 48 224 13838 
10 48 3 224 13838 
10 48 18 224 13838 
10 48 33 224 13838 
10 48 48 224 13838 
10 49 3 224 13899 
10 49 18 224 13899 
10 49 33 224 13899 
10 49 48 224 13899 
10 50 3 224 13899 
10 50 18 224 13899 
10 50 33 224 13899 
10 50 48 224 13899 
10 51 3 224 13899 
10 51 18 224 13838 
