1000n,10/25/21,9:49:41 AM,0,="",1000E,XR1,1980.0,0,32,1,1,-11.45613 ,3.15738 ,-0.29486 ,0.46864 ,0.91094 ,-0.04509 ,1.1293 ,9.94989 ,-2.29052 ,7.92131 ,-4.42904 ,5.03752 ,-3.06618 ,-2.13447 ,-1.13589 ,-1.16223 ,-5.76201 ,4.21575 ,-1.6481 ,-0.61303 ,-2.15524 ,-10.52797 ,-10.74076 ,2.92162 ,11.72364 ,-2.78753 ,4.62055 ,1.85374 ,1.11545 ,0.79922 ,1.83693 ,-1.6046 ,-0.61413 ,-1.38313 ,-1.2076 ,1.49342 ,-1.41833 ,0.50316 ,-0.85794 ,-0.44997 ,-1.72741 ,-1.65787 ,-1.40077 ,-1.16493 ,-0.87947 ,0.15562 ,-0.70856 ,-1.155 ,-0.84556 ,-1.09551 ,0.52278 ,0.19884 ,1.10389 ,-5.2802 ,17.62599 ,-0.75743 ,-1.17203 ,-7.96184 ,1.85937 ,0.76937 ,-1.09153 ,1.06268 ,0.76281 ,2.73127 ,1.973 ,-3.00697 ,-1.95883 ,0.61093 ,-0.02114 ,2.13502 ,-2.25123 ,-0.24471 ,0.48215 ,1.67351 ,-0.17113 ,0.02426 ,0.5142 ,0.60993 ,0.16714 ,-0.12707 ,0.19591 ,0.99094 ,0.84735 ,1.52268 ,0.35163 ,0.2333 
1000n,10/25/21,9:49:41 AM,0,="",1000E,YR1,1980.0,0,32,1,1,4.34139 ,4.95443 ,-4.60333 ,-1.04114 ,-3.75572 ,7.08434 ,-5.13124 ,3.68986 ,0.58669 ,3.98827 ,-2.32598 ,3.84995 ,-3.20905 ,6.38163 ,7.54741 ,5.16874 ,-0.20012 ,-1.9004 ,4.89262 ,5.22548 ,5.69159 ,8.93205 ,2.5408 ,5.70645 ,8.89659 ,3.06213 ,-1.98458 ,-3.38886 ,5.96272 ,-0.60385 ,-1.28807 ,0.35284 ,1.83636 ,-1.39419 ,3.54375 ,2.07431 ,0.16834 ,1.96901 ,1.45815 ,2.40596 ,2.00731 ,0.94491 ,2.94014 ,1.96854 ,0.00971 ,-0.45826 ,0.76016 ,1.95415 ,1.08163 ,-0.67654 ,-0.34785 ,-0.39965 ,1.05794 ,2.70849 ,-9.35763 ,-7.54133 ,12.82136 ,0.89422 ,1.18148 ,0.56526 ,4.12517 ,3.91717 ,-1.39231 ,-0.7836 ,1.91329 ,-2.76242 ,-0.93387 ,1.08647 ,-0.68938 ,0.84552 ,-0.6838 ,1.7959 ,1.17375 ,-0.32087 ,-1.52237 ,-0.78804 ,-2.83851 ,-1.64815 ,-1.92167 ,-0.00669 ,1.81926 ,0.61828 ,0.81175 ,1.30452 ,-0.12443 ,-0.03605 
1000n,10/25/21,9:49:41 AM,0,="",1000E,ZR1,1980.0,0,32,1,1,1.73575 ,2.88025 ,-3.67567 ,3.51557 ,0.47016 ,3.9295 ,-9.13623 ,6.08069 ,6.78694 ,5.09933 ,3.33267 ,-0.12818 ,1.4191 ,2.07266 ,4.32873 ,8.30686 ,5.58671 ,-0.47371 ,-2.01339 ,6.04725 ,0.94843 ,6.56605 ,-4.3571 ,11.94318 ,-0.72069 ,-0.05066 ,2.71486 ,7.64012 ,-5.55741 ,2.8451 ,3.44201 ,0.79651 ,1.23291 ,6.01464 ,-0.01536 ,3.49185 ,2.41865 ,1.93712 ,2.72557 ,2.96009 ,2.25887 ,1.44259 ,2.51282 ,2.48732 ,1.79594 ,1.95844 ,2.09238 ,2.28368 ,1.95623 ,1.05397 ,1.21731 ,0.67027 ,2.5272 ,-3.84033 ,24.27309 ,6.90043 ,8.27342 ,4.93594 ,11.20484 ,1.56407 ,0.54154 ,-1.34217 ,-1.38534 ,0.45043 ,-2.69315 ,-1.07668 ,-2.22094 ,2.63538 ,-0.32291 ,-0.71273 ,0.5636 ,0.87451 ,0.62694 ,1.11491 ,0.11894 ,-0.50236 ,-1.38907 ,-0.92041 ,-0.4135 ,-0.37016 ,0.53127 ,-0.94873 ,-1.08765 ,-0.18883 ,-0.73879 ,-2.03277 
1000n,10/25/21,10:01:54 AM,0,="",1000E,XR2,1980.0,0,32,1,2,-2135.612 ,-2142.507 ,-2148.332 ,-2143.059 ,-2136.015 ,-2162.926 ,-2430.014 ,-2477.461 ,-2401.863 ,-2306.349 ,-2191.952 ,-2066.623 ,-1925.04 ,-1792.054 ,-1654.262 ,-1510.223 ,-1371.91 ,-1235.009 ,-1095.186 ,-943.4984 ,-759.5609 ,-650.3781 ,-612.9856 ,-545.8212 ,-454.4568 ,-391.1581 ,-321.5669 ,-259.1641 ,-215.0114 ,-174.4667 ,-139.3242 ,-121.8131 ,-89.70544 ,-75.83182 ,-55.23173 ,-41.81848 ,-27.2546 ,-20.38495 ,-14.37146 ,-11.81232 ,-9.14119 ,-8.00869 ,-7.54167 ,-6.5764 ,-5.22489 ,-4.72838 ,-4.63492 ,-3.33616 ,-4.55092 ,-4.17809 ,-3.19832 ,-3.48437 ,-1.84738 ,-13.04597 ,-37.89663 ,-140.6279 ,-267.9447 ,-419.1783 ,-517.0235 ,-521.5809 ,-421.5713 ,-194.6323 ,116.6895 ,487.0537 ,876.5577 ,1258.932 ,1579.776 ,1822.98 ,1974.889 ,2059.249 ,2099.449 ,2117.098 ,2125.508 ,2131.912 ,2132.86 ,2133.151 ,2133.822 ,2135.91 ,2136.19 ,2138.278 ,2137.486 ,2139.755 ,2139.545 ,2141.3 ,2142.434 ,2141.403 
1000n,10/25/21,10:01:54 AM,0,="",1000E,YR2,1980.0,0,32,1,2,-2703.864 ,-2686.554 ,-2692.167 ,-2691.485 ,-2689.346 ,-2658.336 ,-2123.712 ,-1899.094 ,-1661.009 ,-1436.215 ,-1230.808 ,-1010.768 ,-814.9858 ,-611.61 ,-418.1245 ,-226.1654 ,-42.68944 ,141.1609 ,314.1058 ,478.4358 ,410.8126 ,347.7978 ,343.9246 ,309.3608 ,289.5115 ,267.379 ,248.9337 ,222.7406 ,220.3151 ,190.004 ,169.9476 ,158.6116 ,134.0475 ,119.6306 ,100.1654 ,83.06441 ,66.99099 ,50.10969 ,39.47892 ,28.75098 ,20.90716 ,7.62365 ,2.1243 ,0.10758 ,-0.38687 ,1.58986 ,1.75804 ,1.6255 ,0.74446 ,2.70181 ,0.95465 ,-0.15843 ,-1.48979 ,-9.02528 ,170.2663 ,298.5753 ,554.2466 ,776.91 ,1004.799 ,1207.819 ,1430.775 ,1671.928 ,1909.069 ,2138.664 ,2360.782 ,2537.781 ,2675.411 ,2747.104 ,2776.434 ,2777.68 ,2759.96 ,2745.966 ,2727.609 ,2718.501 ,2702.932 ,2696.456 ,2694.716 ,2695.835 ,2694.213 ,2694.533 ,2694.095 ,2693.46 ,2695.069 ,2693.424 ,2692.647 ,2693.204 
1000n,10/25/21,10:01:54 AM,0,="",1000E,ZR2,1980.0,0,32,1,2,33109.82 ,33103.48 ,33109.71 ,33097.23 ,33100.62 ,33026.98 ,31272.36 ,29090.88 ,26956.13 ,24756.62 ,22534.99 ,20308.9 ,18094.35 ,15898.73 ,13717.78 ,11551.65 ,9407.095 ,7306.658 ,5206.915 ,3197.017 ,2155.292 ,1995.055 ,1921.653 ,1818.714 ,1694.54 ,1576.988 ,1453.779 ,1311.26 ,1184.487 ,1052.327 ,925.3933 ,798.6032 ,685.5797 ,581.727 ,490.3949 ,409.6217 ,343.0097 ,280.0652 ,228.0924 ,180.8358 ,144.4504 ,81.07925 ,38.44144 ,22.74755 ,14.67701 ,10.67437 ,7.90401 ,6.71944 ,5.04428 ,4.44673 ,3.48993 ,2.09439 ,2.19862 ,-22.83424 ,-284.7618 ,-600.5906 ,-1351.895 ,-2497.547 ,-4002.384 ,-5966.892 ,-8440.953 ,-11377.86 ,-14783.66 ,-18461.37 ,-22175.43 ,-25606.26 ,-28437.49 ,-30470.36 ,-31722.1 ,-32379.28 ,-32687.58 ,-32836.12 ,-32923.11 ,-32977.8 ,-33050.94 ,-33088.66 ,-33100.47 ,-33104.82 ,-33105.16 ,-33104.85 ,-33103.65 ,-33103.77 ,-33102.49 ,-33101.97 ,-33101.93 ,-33101.44 
1000n,10/25/21,10:02:42 AM,0,="",1000E,XR3,1980.0,0,32,1,3,-2138.708 ,-2140.818 ,-2150.455 ,-2137.729 ,-2152.492 ,-2158.625 ,-2438.114 ,-2475.122 ,-2397.145 ,-2304.838 ,-2178.482 ,-2060.915 ,-1921.168 ,-1792.18 ,-1647.073 ,-1522.176 ,-1381.503 ,-1225.803 ,-1097.772 ,-941.0072 ,-760.1385 ,-632.5292 ,-598.0017 ,-554.2331 ,-462.8202 ,-397.5549 ,-351.5115 ,-258.8759 ,-214.7062 ,-177.6208 ,-145.86 ,-115.1673 ,-96.78155 ,-65.52347 ,-55.95302 ,-33.99096 ,-25.65578 ,-14.87622 ,-13.58675 ,-8.71763 ,-6.68731 ,-6.87587 ,-6.67913 ,-4.13848 ,-4.08683 ,-4.40302 ,-3.89334 ,-3.63642 ,-4.22236 ,-2.76576 ,-3.13944 ,-1.85472 ,-1.23473 ,-12.93856 ,-39.56347 ,-119.0096 ,-273.4941 ,-446.9459 ,-517.4866 ,-523.1479 ,-413.0367 ,-205.3747 ,117.4457 ,471.808 ,877.4897 ,1259.139 ,1579.884 ,1825.707 ,1976.498 ,2062.023 ,2097.429 ,2118.662 ,2131.354 ,2132.852 ,2134.003 ,2135.901 ,2136.268 ,2138.382 ,2137.044 ,2138.553 ,2138.409 ,2137.703 ,2138.297 ,2140.185 ,2140.945 ,2141.348 
1000n,10/25/21,10:02:42 AM,0,="",1000E,YR3,1980.0,0,32,1,3,-2700.444 ,-2700.508 ,-2691.442 ,-2685.496 ,-2688.946 ,-2650.121 ,-2121.223 ,-1896.648 ,-1674.735 ,-1445.275 ,-1225.511 ,-1018.654 ,-814.1128 ,-609.6711 ,-422.9938 ,-223.9564 ,-41.24552 ,137.6453 ,330.3791 ,471.2132 ,413.5434 ,364.0306 ,328.429 ,327.3397 ,292.7477 ,273.0635 ,246.8094 ,223.2478 ,217.9913 ,195.3703 ,176.5303 ,156.4249 ,135.9874 ,120.6503 ,102.8238 ,82.86856 ,67.81439 ,52.12608 ,37.74873 ,26.92698 ,18.57499 ,6.79643 ,1.24659 ,-1.17756 ,-0.01237 ,-0.38753 ,-0.5839 ,0.56919 ,-0.73976 ,1.44505 ,-0.84074 ,-0.71019 ,-1.17685 ,14.87696 ,181.5086 ,295.4746 ,530.4633 ,784.5185 ,1003.431 ,1209.573 ,1433.678 ,1663.887 ,1898.783 ,2139.227 ,2358.778 ,2534.508 ,2667.056 ,2748.786 ,2777.245 ,2779.6 ,2763.289 ,2745.969 ,2733.616 ,2721.495 ,2704.949 ,2698.472 ,2696.333 ,2696.707 ,2694.896 ,2696.978 ,2696.33 ,2696.251 ,2695.792 ,2696.404 ,2696.582 ,2694.864 
1000n,10/25/21,10:02:42 AM,0,="",1000E,ZR3,1980.0,0,32,1,3,33105.29 ,33093.28 ,33110.22 ,33098.13 ,33114.56 ,33028.63 ,31275.48 ,29091.91 ,26950.23 ,24761.7 ,22537.04 ,20310.76 ,18094.76 ,15889.26 ,13702.54 ,11552.94 ,9414.51 ,7299.46 ,5218.653 ,3192.294 ,2159.079 ,1992.506 ,1906.287 ,1823.926 ,1701.723 ,1561.36 ,1453.91 ,1305.52 ,1181.672 ,1051.251 ,921.3279 ,796.3389 ,682.4815 ,582.3027 ,491.3464 ,410.6483 ,339.08 ,280.2916 ,226.4903 ,180.5273 ,142.3291 ,79.45154 ,37.81203 ,22.04466 ,15.33197 ,9.92652 ,6.76112 ,5.33767 ,4.50795 ,3.81595 ,2.5562 ,1.56793 ,1.21806 ,-16.56711 ,-264.6279 ,-593.5129 ,-1360.774 ,-2494.489 ,-4008.403 ,-5965.211 ,-8427.554 ,-11373.22 ,-14781.35 ,-18460.57 ,-22170.7 ,-25608.46 ,-28434.49 ,-30463.92 ,-31718.35 ,-32380.05 ,-32685.55 ,-32836.62 ,-32922.11 ,-32976.7 ,-33050.45 ,-33087.07 ,-33099.48 ,-33102.81 ,-33102.91 ,-33103.29 ,-33103.02 ,-33103.4 ,-33101.97 ,-33101.46 ,-33100.76 ,-33101.36 
1000n,10/25/21,10:03:16 AM,0,="",1000E,XR4,1980.0,0,32,3,4,-2149.859 ,-2135.802 ,-2140.945 ,-2146.842 ,-2144.525 ,-2163.341 ,-2435.045 ,-2484.188 ,-2401.102 ,-2307.814 ,-2193.342 ,-2061.715 ,-1924.316 ,-1789.021 ,-1652.685 ,-1511.17 ,-1375.741 ,-1247.519 ,-1096.822 ,-955.2666 ,-771.317 ,-621.5402 ,-592.953 ,-547.3918 ,-453.9261 ,-392.7742 ,-319.0743 ,-279.3452 ,-219.5239 ,-184.6118 ,-152.2068 ,-122.8691 ,-95.54754 ,-74.00317 ,-55.35963 ,-41.74796 ,-29.88895 ,-18.84636 ,-18.79857 ,-10.67217 ,-9.41065 ,-7.21812 ,-6.64219 ,-5.07166 ,-4.6993 ,-2.59773 ,-2.65381 ,-1.3836 ,-2.08118 ,-0.45688 ,-2.41937 ,-0.34767 ,-2.38093 ,4.50706 ,-40.2829 ,-125.9582 ,-270.5032 ,-407.3698 ,-520.0765 ,-519.1853 ,-396.9694 ,-194.7767 ,110.9461 ,483.955 ,878.535 ,1263.426 ,1588.681 ,1830.117 ,1980.535 ,2066.441 ,2105.719 ,2121.973 ,2133.551 ,2137.244 ,2137.062 ,2137.805 ,2138.878 ,2140.252 ,2140.975 ,2141.4 ,2142.408 ,2142.932 ,2142.75 ,2143.771 ,2143.608 ,2143.81 
