20 XR0 504 32 1 21 4.85880E-01 7.66790E-01 3.23530E-01 6.18020E-01 -2.47400E-02 1.51110E-01 -1.78999E+00 -3.29159E-07 -3.35831E-07 -3.25329E-07 -3.32854E-07 -3.22237E-07 -3.11635E-07 -3.12723E-07 -2.68451E-07 -2.17266E-07 -1.60332E-07 -1.24443E-07 -1.04833E-07 -8.14012E-08 -4.96841E-08 -2.09510E-08 5.37186E-09 -4.32506E-09 -2.12080E-08 1.30906E-08 2.63340E-08 1.64583E-08 -5.52087E-09 -8.09133E-09 -5.12227E-09 -8.88481E-09 2.16104E-08 -4.41446E-09 -1.29938E-08 -7.46920E-09 -5.21540E-11 2.49594E-10 -4.23937E-09 4.99188E-10 9.79006E-09 3.79979E-10 
20 XR0 504 32 1 24 4.85960E-01 7.66650E-01 3.23400E-01 6.18160E-01 -2.47200E-02 1.50830E-01 -1.16400E+00 -3.49003E-07 -3.58078E-07 -3.61133E-07 -3.54263E-07 -3.47059E-07 -3.46198E-07 -3.47603E-07 -2.85875E-07 -2.01642E-07 -1.42660E-07 -1.21466E-07 -1.05530E-07 -8.44560E-08 -5.99436E-08 -3.28533E-08 -2.61105E-08 -2.84649E-08 -4.20697E-08 -5.34355E-08 -3.22088E-08 -6.32181E-09 2.76416E-09 -6.47827E-09 9.05990E-09 -1.39921E-08 -1.19991E-08 -9.40635E-09 6.11692E-09 -5.13717E-09 -6.41867E-09 -1.96322E-09 3.66568E-09 3.22982E-09 1.50576E-08 1.07660E-08 
20 XR0 504 32 1 27 4.86000E-01 7.66900E-01 3.23350E-01 6.18160E-01 -2.46399E-02 1.51150E-01 -9.81000E-01 -3.41545E-07 -3.48158E-07 -3.53250E-07 -3.70368E-07 -3.64866E-07 -3.64117E-07 -3.67850E-07 -2.96566E-07 -2.07707E-07 -1.41251E-07 -9.84854E-08 -8.04401E-08 -5.32902E-08 -2.70418E-08 -7.74487E-09 -3.32668E-09 -2.14576E-09 2.80141E-09 1.63912E-08 1.29044E-08 -1.13323E-08 -1.07064E-08 2.74591E-08 -2.18302E-09 -7.29411E-09 -1.80900E-08 -2.10106E-08 -1.16750E-08 -2.45012E-08 -2.24113E-08 -1.17458E-08 -1.23456E-08 -1.06804E-08 1.98930E-09 1.42566E-08 
20 XR0 504 32 1 30 4.85969E-01 7.66979E-01 3.23400E-01 6.18070E-01 -2.46000E-02 1.50830E-01 -6.91000E-01 -3.73646E-07 -3.85332E-07 -3.68915E-07 -3.54252E-07 -3.41340E-07 -3.14585E-07 -2.97669E-07 -2.84172E-07 -2.33061E-07 -1.62415E-07 -1.33991E-07 -1.15923E-07 -9.61758E-08 -7.07693E-08 -3.48240E-08 -2.79024E-09 7.56233E-10 -1.65924E-08 -1.37314E-08 5.21913E-09 7.29784E-09 1.28485E-08 1.26659E-09 6.81355E-09 1.25467E-08 1.67861E-08 3.20337E-08 5.08129E-09 1.02669E-08 -1.15782E-08 -7.43195E-09 -1.51507E-08 -8.90344E-10 -1.51991E-09 -4.63426E-09 
30 XR0 504 32 1 33 4.86050E-01 7.63660E-01 3.26050E-01 6.24000E-01 -2.38400E-02 1.43620E-01 -6.46000E-01 -3.59036E-07 -3.38692E-07 -3.21712E-07 -3.27967E-07 -3.33137E-07 -3.16072E-07 -3.00798E-07 -2.65207E-07 -1.89155E-07 -1.10011E-07 -8.28504E-08 -7.04638E-08 -5.43817E-08 -3.89106E-08 -2.06492E-08 -5.14089E-10 2.27615E-09 -2.19270E-08 -8.05035E-09 2.33575E-09 -1.17197E-08 -1.76355E-08 -2.08094E-08 -1.61416E-08 -1.58846E-08 3.79234E-09 -2.43298E-08 6.89178E-10 9.99122E-09 -1.10827E-08 -1.54599E-09 -1.28149E-09 -7.05197E-09 -1.14999E-08 -5.51342E-09 
30 XR0 504 32 1 36 4.86010E-01 7.63819E-01 3.26050E-01 6.24159E-01 -2.37200E-02 1.43620E-01 -6.30000E-01 -3.42901E-07 -3.38375E-07 -3.49368E-07 -3.47416E-07 -3.32299E-07 -3.35082E-07 -3.15643E-07 -2.84679E-07 -2.27864E-07 -1.54498E-07 -1.23884E-07 -1.09944E-07 -9.22009E-08 -6.78673E-08 -4.67188E-08 -3.71187E-08 -4.00766E-08 -3.55206E-08 -3.28235E-08 -3.51145E-08 2.95415E-09 1.84327E-08 -3.43844E-09 -1.45286E-08 -1.07511E-08 -1.83321E-08 -1.68085E-08 -9.89436E-09 -1.00173E-08 -1.76951E-09 -4.84660E-09 -7.56606E-09 3.25217E-09 1.73076E-08 2.14576E-09 
30 XR0 504 32 1 39 4.86010E-01 7.63670E-01 3.26050E-01 6.24170E-01 -2.37200E-02 1.43940E-01 -4.17000E-01 -3.65380E-07 -3.65830E-07 -3.63834E-07 -3.59322E-07 -3.60652E-07 -3.49722E-07 -3.18821E-07 -2.78137E-07 -2.22086E-07 -1.61159E-07 -1.26443E-07 -1.15264E-07 -9.94913E-08 -7.38240E-08 -4.96283E-08 -3.10502E-08 -7.97957E-09 8.26269E-09 -3.40864E-09 6.96629E-10 -2.04555E-08 -2.83122E-08 1.34482E-09 -2.37785E-08 1.73039E-08 -6.29574E-10 9.61497E-09 -1.54934E-08 -8.43778E-09 -1.60299E-08 2.06753E-09 -9.58889E-09 -4.77954E-09 7.74487E-09 4.55975E-09 
30 XR0 504 32 1 42 4.86010E-01 7.63590E-01 3.26040E-01 6.24170E-01 -2.36799E-02 1.43859E-01 -5.54000E-01 -3.49722E-07 -3.17901E-07 -3.15997E-07 -3.29926E-07 -3.48255E-07 -3.52136E-07 -3.25761E-07 -2.83841E-07 -2.25629E-07 -1.64218E-07 -1.28678E-07 -1.10778E-07 -8.60057E-08 -4.51691E-08 -7.80075E-09 1.08741E-08 8.63894E-09 -3.03983E-09 -1.57319E-08 -4.57465E-09 3.81730E-08 1.09411E-08 3.58372E-09 1.29267E-09 2.60360E-08 2.83122E-10 4.27290E-09 3.31550E-09 1.36718E-08 1.86227E-08 -2.67848E-09 -6.06849E-09 -7.55116E-09 -2.49594E-09 -1.58622E-08 
40 XR0 504 32 1 45 4.83280E-01 7.57939E-01 3.33409E-01 6.30960E-01 -2.15500E-02 1.44930E-01 -5.54000E-01 -3.41877E-07 -3.50359E-07 -3.23683E-07 -3.24677E-07 -3.21984E-07 -3.34516E-07 -3.51496E-07 -2.94465E-07 -2.24683E-07 -1.56819E-07 -1.18881E-07 -9.55946E-08 -7.65621E-08 -4.63575E-08 -2.73548E-08 -2.27577E-08 -2.72989E-08 -2.50600E-08 -2.05300E-08 1.71214E-08 -2.08616E-10 -2.31340E-09 -3.68878E-08 7.88271E-09 1.50762E-08 1.80415E-08 1.54189E-08 4.55230E-09 1.17495E-08 9.40635E-09 -2.17184E-09 6.63101E-09 9.38773E-10 5.32716E-10 -1.09523E-09 
40 XR0 504 32 1 48 4.83310E-01 7.57390E-01 3.33409E-01 6.31050E-01 -2.15400E-02 1.45089E-01 -5.54000E-01 -3.39668E-07 -3.40551E-07 -3.38304E-07 -3.40148E-07 -3.43490E-07 -3.56957E-07 -3.19846E-07 -2.67215E-07 -2.00461E-07 -1.27866E-07 -9.57213E-08 -8.17961E-08 -6.86831E-08 -5.11445E-08 -2.91913E-08 -1.05053E-09 1.00247E-08 -7.62566E-09 1.20773E-08 7.14510E-09 4.17604E-09 2.41212E-08 2.29887E-08 3.25292E-08 1.40704E-08 2.40914E-08 2.55629E-08 9.86456E-09 9.35047E-10 -7.04079E-10 -1.38692E-08 4.34741E-09 -9.22009E-09 -1.35600E-09 5.99771E-10 
