Line 7600N - WGS 84 / UTM zone 44N
Easting,Northing,Elevation,Station Number
688298.73,5586939.33,897.87,0
688317.22,5586955.46,896.05,25
688334.43,5586973.67,904.32,50
688353.61,5586992.26,911.42,75
688370.71,5587009.46,914.93,100
688389.48,5587025.94,916.5,125
688407.18,5587044.16,923.31,150
688425.46,5587060.28,923.82,175
688442.25,5587078.25,923.47,200
688459.93,5587096.91,920.04,225
688477.97,5587113.69,922.91,250
688496.29,5587130.71,919.99,275
688514.22,5587148.49,918.16,300
