Line 7500N - WGS 84 / UTM zone 44N
Easting,Northing,Elevation,Station Number
688367.27,5586866.86,904.0,0
688385.69,5586884.88,908.53,25
688403.86,5586902.12,911.72,50
688418.28,5586922.66,918.68,75
688438.14,5586938.29,933.51,100
688457.07,5586951.88,942.58,125
688474.15,5586971.64,950.79,150
688489.44,5586989.88,942.21,175
688510.85,5587005.78,939.87,200
688530.37,5587022.84,940.32,225
688546.84,5587039.9,944.94,250
688566.34,5587057.4,941.07,275
688584.55,5587075.43,938.58,300
