Line 7700N - WGS 84 / UTM zone 44N
Easting,Northing,Elevation,Station Number
688229.14,5587011.64,874.41,0
688246.45,5587028.96,875.27,25
688264.96,5587046.43,878.26,50
688283.32,5587064.23,885.9,75
688300.79,5587081.22,887.93,100
688318.53,5587098.32,893.5,125
688336.3,5587116.54,897.01,150
688354.09,5587134.43,898.52,175
688371.77,5587151.42,905.78,200
688390.08,5587168.55,919.53,225
688408.08,5587186.33,931.14,250
688425.6,5587203.88,943.13,275
688444.0,5587220.34,960.0,300
