h
h

<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
7 44 27 187 19969 
7 44 42 186 19969 
7 44 57 187 19969 
7 45 12 186 19969 
7 45 27 187 19969 
7 45 42 186 19969 
7 45 57 187 19969 
7 46 12 186 19969 
7 46 27 187 19969 
7 46 42 186 19969 
7 46 57 187 19969 
7 47 12 186 19969 
7 47 27 187 19969 
7 47 42 186 19969 
7 47 57 187 19969 
7 48 12 186 19969 
7 48 27 187 19969 
7 48 42 186 19969 
7 48 57 187 19969 
7 49 12 186 19969 
7 49 27 187 19969 
7 49 42 186 19969 
7 49 57 187 19969 
7 50 12 186 19969 
7 50 27 187 19969 
7 50 42 186 19969 
7 50 57 187 19969 
7 51 12 186 19969 
7 51 27 187 19969 
7 51 42 186 19969 
7 51 57 187 19969 
7 52 12 186 19969 
7 52 27 187 19969 
7 52 42 186 19969 
7 52 57 187 19969 
7 53 12 186 19969 
7 54 6 187 19969 
7 54 21 186 19969 
7 54 36 186 19969 
7 54 51 187 19969 
7 55 6 186 19969 
7 55 21 187 19969 
7 55 36 187 19969 
7 55 51 186 19969 
7 56 6 186 19969 
7 56 21 187 19969 
7 56 36 186 19969 
7 56 51 187 19969 
7 57 6 186 19969 
7 57 21 187 19969 
7 57 36 186 19969 
7 57 51 187 19969 
7 58 6 186 19969 
7 58 21 187 19969 
7 58 36 186 19969 
7 58 51 187 19969 
7 59 6 186 19969 
7 59 21 187 19969 
7 59 36 186 19969 
7 59 51 187 19969 
8 0 6 186 19969 
8 0 21 187 19969 
8 0 36 186 19969 
8 0 51 187 19969 
8 1 6 186 19969 
8 1 21 187 19969 
8 1 36 186 19969 
8 1 51 187 19969 
8 2 6 186 19969 
8 2 21 187 19969 
8 2 36 186 19969 
8 2 51 187 19969 
8 3 6 186 19969 
8 3 21 187 19969 
8 3 36 186 19969 
8 3 51 187 19969 
8 4 6 186 19969 
8 4 21 187 19969 
8 4 36 186 19969 
8 4 51 187 19969 
8 5 6 186 19969 
8 5 21 187 19969 
8 5 36 186 19969 
8 5 51 187 19969 
8 6 6 186 19969 
8 6 21 187 19969 
8 6 36 186 19969 
8 6 51 187 19969 
8 7 6 187 19969 
8 7 21 186 19969 
8 7 36 187 19969 
8 7 51 186 19969 
8 8 6 187 19969 
8 8 21 186 19969 
8 9 15 186 19969 
8 9 30 186 19969 
8 9 45 187 19969 
8 10 0 186 19969 
8 10 15 187 19969 
8 10 30 186 19969 
8 10 45 187 19969 
8 11 0 186 19969 
8 11 15 186 19969 
8 11 30 187 19969 
8 11 45 186 19969 
8 12 0 187 19969 
8 12 15 186 19969 
8 12 30 187 19969 
8 12 45 186 19969 
8 13 0 187 19969 
8 13 15 186 19969 
8 13 30 187 19969 
8 13 45 186 19969 
8 14 0 187 19969 
8 14 15 186 19969 
8 14 30 187 19969 
8 14 45 186 19969 
8 15 0 187 19969 
8 15 15 186 19969 
8 15 30 187 19969 
8 15 45 186 19969 
8 16 0 187 19969 
8 16 15 186 19969 
8 16 30 187 19969 
8 16 45 186 19969 
8 17 0 187 19969 
8 17 15 186 19969 
8 17 30 187 19969 
8 17 45 186 19969 
8 18 0 187 19969 
8 18 15 187 19969 
8 18 30 186 19969 
8 18 45 187 19969 
8 19 0 186 19969 
8 19 15 187 19969 
8 19 30 186 19969 
8 19 45 187 19969 
8 20 0 186 19969 
8 20 15 187 19969 
8 20 30 186 19969 
8 20 45 187 19969 
8 21 0 186 19969 
8 21 15 187 19969 
8 21 30 186 19969 
8 21 45 187 19969 
8 22 0 186 19969 
8 22 15 187 19969 
8 22 30 186 19969 
8 22 45 187 19969 
8 23 0 186 19969 
8 23 15 187 19969 
8 23 30 186 19969 
8 24 9 187 19969 
8 24 24 186 19969 
8 24 39 186 19969 
8 24 54 187 19969 
8 25 9 186 19969 
8 25 24 187 19969 
8 25 39 186 19969 
8 25 54 187 19969 
8 26 9 186 19969 
8 26 24 187 19969 
8 26 39 186 19969 
8 26 54 187 19969 
8 27 9 186 19969 
8 27 24 187 19969 
8 27 39 186 19969 
8 27 54 187 19969 
8 28 9 186 19969 
8 28 24 187 19969 
8 28 39 186 19969 
8 28 54 187 19969 
8 29 9 187 19969 
8 29 24 186 19969 
8 29 39 187 19969 
8 29 54 186 19969 
8 30 9 187 19969 
8 30 24 186 19969 
8 30 39 187 19969 
8 30 54 186 19969 
8 31 9 187 19969 
8 31 24 186 19969 
8 31 39 187 19969 
8 31 54 186 19969 
8 32 9 187 19969 
8 32 24 186 19969 
8 32 39 187 19969 
8 32 54 186 19969 
8 33 9 187 19969 
8 33 24 186 19969 
8 33 39 187 19969 
8 33 54 186 19969 
8 34 9 187 19969 
8 34 24 186 19969 
8 34 39 187 19969 
8 34 54 186 19969 
8 35 9 187 19969 
8 35 24 186 19969 
8 35 39 187 19969 
8 35 54 186 19969 
8 36 9 187 19969 
8 36 24 186 19969 
8 36 39 187 19969 
8 36 54 186 19969 
8 37 9 187 19969 
8 37 24 186 19969 
8 37 39 187 19969 
8 37 54 186 19969 
8 38 9 187 19969 
8 38 24 186 19969 
8 38 39 187 19969 
8 39 33 186 19969 
8 39 48 186 19969 
8 40 3 187 19969 
8 40 18 187 19969 
8 40 33 186 19969 
8 40 48 187 19969 
8 41 3 186 19969 
8 41 18 187 19969 
8 41 33 186 19969 
8 41 48 186 19969 
8 42 3 187 19969 
8 42 18 186 19969 
8 42 33 187 19969 
8 42 48 186 19969 
8 43 3 187 19969 
8 43 18 186 19969 
8 43 33 187 19969 
8 43 48 186 19969 
8 44 3 187 19969 
8 44 18 186 19969 
8 44 33 187 19969 
8 44 48 186 19969 
8 45 3 187 19969 
8 45 18 186 19969 
8 45 33 187 19969 
8 45 48 186 19969 
8 46 3 187 19969 
8 46 18 186 19969 
8 46 33 187 19969 
8 46 48 186 19969 
8 47 3 187 19969 
8 47 18 186 19969 
8 47 33 187 19969 
8 47 48 186 19969 
8 48 3 187 19969 
8 48 18 186 19969 
8 48 33 187 19969 
8 48 48 186 19969 
8 49 3 187 19969 
8 49 18 186 19969 
8 49 33 187 19969 
8 49 48 186 19969 
8 50 3 187 19969 
8 50 18 186 19969 
8 50 33 187 19969 
8 50 48 187 19969 
8 51 3 186 19969 
8 51 18 187 19969 
8 51 33 186 19969 
8 51 48 187 19969 
8 52 3 186 19969 
8 52 18 187 19969 
8 52 33 186 19969 
8 52 48 187 19969 
8 53 3 186 19969 
8 53 18 187 19969 
8 53 33 186 19969 
8 53 48 187 19969 
8 54 42 186 19969 
8 54 57 186 19969 
8 55 12 187 19969 
8 55 27 186 19969 
8 55 42 187 19969 
8 55 57 186 19969 
8 56 12 187 19969 
8 56 27 186 19969 
8 56 42 186 19969 
8 56 57 187 19969 
8 57 12 186 19969 
8 57 27 187 19969 
8 57 42 186 19969 
8 57 57 187 19969 
8 58 12 186 19969 
8 58 27 187 19969 
8 58 42 186 19969 
8 58 57 187 19969 
8 59 12 186 19969 
8 59 27 187 19969 
8 59 42 186 19969 
8 59 57 187 19969 
9 0 12 186 19969 
9 0 27 187 19969 
9 0 42 186 19969 
9 0 57 187 19969 
9 1 12 186 19969 
9 1 27 187 19969 
9 1 42 187 19969 
9 1 57 186 19969 
9 2 12 187 19969 
9 2 27 186 19969 
9 2 42 187 19969 
9 2 57 186 19969 
9 3 12 187 19969 
9 3 27 186 19969 
9 3 42 187 19969 
9 3 57 186 19969 
9 4 12 187 19969 
9 4 27 186 19969 
9 4 42 187 19969 
9 4 57 186 19969 
9 5 12 187 19969 
9 5 27 186 19969 
9 5 42 187 19969 
9 5 57 186 19969 
9 6 12 187 19969 
9 6 27 186 19969 
9 6 42 187 19969 
9 6 57 186 19969 
9 7 12 187 19969 
9 7 27 186 19969 
9 7 42 187 19969 
9 7 57 186 19969 
9 8 12 187 19969 
9 8 27 186 19969 
9 8 42 187 19969 
9 8 57 186 19969 
9 9 51 187 19969 
9 10 6 186 19969 
9 10 21 186 19969 
9 10 36 187 19969 
9 10 51 186 19969 
9 11 6 187 19969 
9 11 21 186 19969 
9 11 36 187 19969 
9 11 51 186 19969 
9 12 6 187 19969 
9 12 21 186 19969 
9 12 36 187 19969 
9 12 51 187 19969 
9 13 6 186 19969 
9 13 21 187 19969 
9 13 36 186 19969 
9 13 51 187 19969 
9 14 6 186 19969 
9 14 21 187 19969 
9 14 36 186 19969 
9 14 51 187 19969 
9 15 6 186 19969 
9 15 21 187 19969 
9 15 36 186 19969 
9 15 51 187 19969 
9 16 6 186 19969 
9 16 21 187 19969 
9 16 36 186 19969 
9 16 51 187 19969 
9 17 6 186 19969 
9 17 21 187 19969 
9 17 36 186 19969 
9 17 51 187 19969 
9 18 6 186 19969 
9 18 21 187 19969 
9 18 36 186 19969 
9 18 51 187 19969 
9 19 6 186 19969 
9 19 21 187 19969 
9 19 36 186 19969 
9 19 51 187 19969 
9 20 6 186 19969 
9 20 21 187 19969 
9 20 36 186 19969 
9 20 51 187 19969 
9 21 6 186 19969 
9 21 21 187 19969 
9 21 36 186 19969 
9 21 51 187 19969 
9 22 6 186 19969 
9 22 21 187 19969 
9 22 36 186 19969 
9 22 51 187 19969 
9 23 6 186 19969 
9 23 21 187 19969 
9 23 36 187 19969 
9 23 51 186 19969 
9 24 6 187 19969 
9 25 0 186 19969 
9 25 15 186 19969 
9 25 30 187 19969 
9 25 45 186 19969 
9 26 0 187 19969 
9 26 15 186 19969 
9 26 30 187 19969 
9 26 45 186 19969 
9 27 0 186 19969 
9 27 15 187 19969 
9 27 30 186 19969 
9 27 45 187 19969 
9 28 0 186 19969 
9 28 15 187 19969 
9 28 30 186 19969 
9 28 45 187 19969 
9 29 0 186 19969 
9 29 15 187 19969 
9 29 30 186 19969 
9 29 45 187 19969 
9 30 0 186 19969 
9 30 15 187 19969 
9 30 30 186 19969 
9 30 45 187 19969 
9 31 0 186 19969 
9 31 15 187 19969 
9 31 30 186 19969 
9 31 45 187 19969 
9 32 0 186 19969 
9 32 15 187 19969 
9 32 30 186 19969 
9 32 45 187 19969 
9 33 0 186 19969 
9 33 15 187 19969 
9 33 30 186 19969 
9 33 45 187 19969 
9 34 0 186 19969 
9 34 15 187 19969 
9 34 30 187 19969 
9 34 45 186 19969 
9 35 0 187 19969 
9 35 15 186 19969 
9 35 30 187 19969 
9 35 45 186 19969 
9 36 0 187 19969 
9 36 15 186 19969 
9 36 30 187 19969 
9 36 45 186 19969 
9 37 0 187 19969 
9 37 15 186 19969 
9 37 30 187 19969 
9 37 45 186 19969 
9 38 0 187 19969 
9 38 15 186 19969 
9 38 30 187 19969 
9 38 45 186 19969 
9 39 0 187 19969 
9 39 15 186 19969 
9 40 9 187 19969 
9 40 24 186 19969 
9 40 39 186 19969 
9 40 54 187 19969 
9 41 9 186 19969 
9 41 24 187 19969 
9 41 39 186 19969 
9 41 54 187 19969 
9 42 9 186 19969 
9 42 24 187 19969 
9 42 39 186 19969 
9 42 54 187 19969 
9 43 9 186 19969 
9 43 24 187 19969 
9 43 39 186 19969 
9 43 54 187 19969 
9 44 9 186 19969 
9 44 24 187 19969 
9 44 39 186 19969 
9 44 54 187 19969 
9 45 9 186 19969 
9 45 24 187 19969 
9 45 39 187 19969 
9 45 54 186 19969 
9 46 9 187 19969 
9 46 24 186 19969 
9 46 39 187 19969 
9 46 54 186 19969 
9 47 9 187 19969 
9 47 24 186 19969 
9 47 39 187 19969 
9 47 54 186 19969 
9 48 9 187 19969 
9 48 24 186 19969 
9 48 39 187 19969 
9 48 54 186 19969 
9 49 9 187 19969 
9 49 24 186 19969 
9 49 39 187 19969 
9 49 54 186 19969 
9 50 9 187 19969 
9 50 24 186 19969 
9 50 39 187 19969 
9 50 54 186 19969 
9 51 9 187 19969 
9 51 24 186 19969 
9 51 39 187 19969 
9 51 54 186 19969 
9 52 9 187 19969 
9 52 24 186 19969 
9 52 39 187 19969 
9 52 54 186 19969 
9 53 9 187 19969 
9 53 24 186 19969 
9 53 39 187 19969 
9 53 54 186 19969 
9 54 9 187 19969 
9 54 24 186 19969 
9 55 18 186 19969 
9 55 33 186 19969 
9 55 48 187 19969 
9 56 3 187 19969 
9 56 18 186 19969 
9 56 33 187 19969 
9 56 48 186 19969 
9 57 3 187 19969 
9 57 18 186 19969 
9 57 33 187 19969 
9 57 48 186 19969 
9 58 3 187 19969 
9 58 18 186 19969 
9 58 33 187 19969 
9 58 48 186 19969 
9 59 3 187 19969 
9 59 18 186 19969 
9 59 33 187 19969 
9 59 48 186 19969 
10 0 3 187 19969 
10 0 18 186 19969 
10 0 33 187 19969 
10 0 48 186 19969 
10 1 3 187 19969 
10 1 18 186 19969 
10 1 33 187 19969 
10 1 48 186 19969 
10 2 3 187 19969 
10 2 18 186 19969 
10 2 33 187 19969 
10 2 48 186 19969 
10 3 3 187 19969 
10 3 18 186 19969 
10 3 33 187 19969 
10 3 48 186 19969 
10 4 3 187 19969 
10 4 18 186 19969 
10 4 33 187 19969 
10 4 48 186 19969 
10 5 3 187 19969 
10 5 18 186 19969 
10 5 33 187 19969 
10 5 48 186 19969 
10 6 3 187 19969 
10 6 18 186 19969 
10 6 33 187 19969 
10 6 48 186 19969 
10 7 3 187 19969 
10 7 18 187 19969 
10 7 33 186 19969 
10 7 48 187 19969 
10 8 3 186 19969 
10 8 18 187 19969 
10 8 33 186 19969 
10 8 48 187 19969 
10 9 3 186 19969 
10 9 18 187 19969 
10 9 33 186 19969 
10 10 27 187 19969 
10 10 42 186 19969 
10 10 57 186 19969 
10 11 12 187 19969 
10 11 27 186 19969 
10 11 42 187 19969 
10 11 57 186 19969 
10 12 12 187 19969 
10 12 27 186 19969 
10 12 42 187 19969 
10 12 57 186 19969 
10 13 12 187 19969 
10 13 27 186 19969 
10 13 42 187 19969 
10 13 57 186 19969 
10 14 12 187 19969 
10 14 27 186 19969 
10 14 42 187 19969 
10 14 57 186 19969 
10 15 12 187 19969 
10 15 27 186 19969 
10 15 42 187 19969 
10 15 57 186 19969 
10 16 12 187 19969 
10 16 27 186 19969 
10 16 42 187 19969 
10 16 57 186 19969 
10 17 12 187 19969 
10 17 27 186 19969 
10 17 42 187 19969 
10 17 57 187 19969 
10 18 12 186 19969 
10 18 27 187 19969 
10 18 42 186 19969 
10 18 57 187 19969 
10 19 12 186 19969 
10 19 27 187 19969 
10 19 42 186 19969 
10 19 57 187 19969 
10 20 12 186 19969 
10 20 27 187 19969 
10 20 42 186 19969 
10 20 57 187 19969 
