h
h

<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
7 8 53 186 19969 
7 9 8 187 19969 
7 9 23 187 19969 
7 9 38 186 19969 
7 9 53 187 19969 
7 10 8 186 19969 
7 10 23 187 19969 
7 10 38 186 19969 
7 10 53 187 19969 
7 11 8 186 19969 
7 11 23 187 19969 
7 11 38 186 19969 
7 11 53 187 19969 
7 12 8 186 19969 
7 12 23 187 19969 
7 12 38 186 19969 
7 12 53 187 19969 
7 13 8 186 19969 
7 13 23 187 19969 
7 13 38 186 19969 
7 13 53 187 19969 
7 14 8 186 19969 
7 14 23 187 19969 
7 14 38 186 19969 
7 14 53 187 19969 
7 15 8 186 19969 
7 15 23 187 19969 
7 15 38 186 19969 
7 15 53 187 19969 
7 16 8 186 19969 
7 16 23 187 19969 
7 16 38 186 19969 
7 16 53 187 19969 
7 17 8 186 19969 
7 17 23 187 19969 
7 17 38 186 19969 
7 17 53 187 19969 
7 18 8 186 19969 
7 18 23 187 19969 
7 18 38 186 19969 
7 18 53 187 19969 
7 19 8 186 19969 
7 19 23 187 19969 
7 19 38 186 19969 
7 19 53 187 19969 
7 20 8 186 19969 
7 20 23 187 19969 
7 20 38 186 19969 
7 20 53 187 19969 
7 21 9 187 19969 
7 21 24 186 19969 
7 21 39 187 19969 
7 21 54 186 19969 
7 22 9 187 19969 
7 22 24 186 19969 
7 22 39 187 19969 
7 22 54 186 19969 
7 23 48 187 19969 
7 24 3 186 19969 
7 24 18 186 19969 
7 24 33 187 19969 
7 24 48 186 19969 
7 25 3 187 19969 
7 25 18 186 19969 
7 25 33 187 19969 
7 25 48 186 19969 
7 26 3 187 19969 
7 26 18 186 19969 
7 26 33 187 19969 
7 26 48 186 19969 
7 27 3 187 19969 
7 27 18 186 19969 
7 27 33 187 19969 
7 27 48 186 19969 
7 28 3 187 19969 
7 28 18 186 19969 
7 28 33 187 19969 
7 28 48 186 19969 
7 29 3 187 19969 
7 29 18 186 19969 
7 29 33 187 19969 
7 29 48 186 19969 
7 30 3 187 19969 
7 30 18 186 19969 
7 30 33 187 19969 
7 30 48 186 19969 
7 31 3 187 19969 
7 31 18 186 19969 
7 31 33 187 19969 
7 31 48 186 19969 
7 32 3 187 19969 
7 32 18 186 19969 
7 32 33 187 19969 
7 32 48 186 19969 
7 33 3 187 19969 
7 33 18 187 19969 
7 33 33 186 19969 
7 33 48 187 19969 
7 34 3 186 19969 
7 34 18 187 19969 
7 34 33 186 19969 
7 34 48 187 19969 
7 35 3 186 19969 
7 35 18 187 19969 
7 35 33 186 19969 
7 35 48 187 19969 
7 36 3 186 19969 
7 36 18 187 19969 
7 36 33 186 19969 
7 36 48 187 19969 
7 37 3 186 19969 
7 37 18 187 19969 
7 37 33 186 19969 
7 37 48 187 19969 
7 38 3 186 19969 
7 38 57 187 19969 
7 39 12 186 19969 
7 39 27 186 19969 
7 39 42 187 19969 
7 39 57 186 19969 
7 40 12 187 19969 
7 40 27 186 19969 
7 40 42 187 19969 
7 40 57 186 19969 
7 41 12 187 19969 
7 41 27 186 19969 
7 41 42 187 19969 
7 41 57 186 19969 
7 42 12 187 19969 
7 42 27 186 19969 
7 42 42 187 19969 
7 42 57 186 19969 
7 43 12 187 19969 
7 43 27 186 19969 
7 43 42 187 19969 
7 43 57 186 19969 
7 44 12 187 19969 
