h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
7 55 14 186 19969 
7 55 29 187 19969 
7 55 44 186 19969 
7 55 59 187 20029 
7 56 14 186 19969 
7 56 29 187 19969 
7 56 44 186 19969 
7 56 59 187 20029 
7 57 14 187 19969 
7 57 29 186 19969 
7 57 44 187 20029 
7 57 59 186 19969 
7 58 38 187 19969 
7 58 53 186 19969 
7 59 8 186 20029 
7 59 23 187 20029 
7 59 38 186 19969 
7 59 53 187 19969 
8 0 8 186 19969 
8 0 23 187 19969 
8 0 38 186 20029 
8 0 53 187 19969 
8 1 8 186 19969 
8 1 23 187 19969 
8 1 38 186 20029 
8 1 53 187 20029 
8 2 8 186 19969 
8 2 23 187 19969 
8 2 38 186 19969 
8 2 53 187 19969 
8 3 8 186 19969 
8 3 23 187 19969 
8 3 38 186 20029 
8 3 53 187 19969 
8 4 8 186 19969 
8 4 23 187 20029 
8 4 38 186 20029 
8 4 53 187 20029 
8 5 8 186 20029 
8 5 23 187 20029 
8 5 38 186 20029 
8 5 53 187 20029 
8 6 8 186 20029 
8 6 23 187 20029 
8 6 38 186 20029 
8 6 53 187 20029 
8 7 8 186 20029 
8 7 23 187 20029 
8 7 38 186 20029 
8 7 53 187 20029 
8 8 8 186 20029 
8 8 23 187 20029 
8 8 38 187 20029 
8 8 53 186 20029 
8 9 8 187 20029 
8 9 23 186 20029 
8 9 38 187 20029 
8 9 53 186 20029 
8 10 8 187 20029 
8 10 23 186 20029 
8 10 38 187 20029 
8 10 53 186 20029 
8 11 8 187 20029 
8 11 23 186 20029 
8 11 38 187 20029 
8 11 53 186 20029 
8 12 8 187 20029 
8 12 23 186 20029 
8 12 38 187 20029 
8 12 53 186 20029 
8 13 8 187 20029 
8 13 47 187 20029 
8 14 2 186 19969 
8 14 17 187 20029 
8 14 32 186 20029 
8 14 47 187 20029 
8 15 2 186 20029 
8 15 17 187 20029 
8 15 32 186 20029 
8 15 47 187 20029 
8 16 2 186 20029 
8 16 17 187 20029 
8 16 32 186 20029 
8 16 47 187 20029 
8 17 2 186 20029 
8 17 17 187 20029 
8 17 32 186 20029 
8 17 47 187 20029 
8 18 2 186 20029 
8 18 17 187 20029 
8 18 32 186 20029 
8 18 47 187 20029 
8 19 2 186 20029 
8 19 17 187 20029 
8 19 32 186 20029 
8 19 47 187 20029 
8 20 2 186 20029 
8 20 17 187 20029 
8 20 32 187 20029 
8 20 47 186 20029 
8 21 2 187 20029 
8 21 17 186 20029 
8 21 32 187 20029 
8 21 47 186 20029 
8 22 2 187 20029 
8 22 17 186 20029 
8 22 32 187 20029 
8 22 47 186 20029 
8 23 2 187 20029 
8 23 17 186 19969 
8 23 32 187 19969 
8 23 47 186 20029 
8 24 2 187 20029 
8 24 17 186 20029 
8 24 32 187 20029 
8 24 47 186 20029 
8 25 2 187 20029 
8 25 17 186 20029 
8 25 32 187 20029 
8 25 47 186 20029 
8 26 2 187 20029 
8 26 17 186 20029 
8 26 32 187 20029 
8 26 47 186 20029 
8 27 2 187 20029 
8 27 17 186 20029 
8 27 32 187 20029 
8 27 47 186 20029 
8 28 2 187 20029 
8 28 17 186 20029 
8 28 56 187 20029 
8 29 11 186 20029 
8 29 26 186 20029 
8 29 41 187 20029 
8 29 56 186 20029 
8 30 11 187 20029 
8 30 26 186 20029 
8 30 41 187 20029 
8 30 56 186 20029 
8 31 11 187 20029 
8 31 26 187 20029 
8 31 41 186 20029 
8 31 56 187 20029 
8 32 11 186 20029 
8 32 26 187 20029 
8 32 41 186 20029 
8 32 56 187 20029 
8 33 11 186 20029 
8 33 26 187 20029 
8 33 41 186 20029 
8 33 56 187 20029 
8 34 11 186 20029 
8 34 26 187 20029 
8 34 41 186 20029 
8 34 56 187 20029 
8 35 11 186 20029 
8 35 26 187 20029 
8 35 41 186 20029 
8 35 56 187 20029 
8 36 11 186 20029 
8 36 26 187 20029 
8 36 41 186 20029 
8 36 56 187 20029 
8 37 11 186 20029 
8 37 26 187 20029 
8 37 41 186 20029 
8 37 56 187 20029 
8 38 11 186 20029 
8 38 26 187 20029 
8 38 41 186 20029 
8 38 56 187 20029 
8 39 11 186 20029 
8 39 26 187 20029 
8 39 41 186 20029 
8 39 56 187 20029 
8 40 11 186 20029 
8 40 26 187 20029 
8 40 41 186 20029 
8 40 56 187 20029 
8 41 11 186 20029 
8 41 26 187 20029 
8 41 41 186 20029 
8 41 56 187 20029 
8 42 11 186 20029 
8 42 26 187 20029 
8 42 41 186 20029 
8 42 56 187 20029 
8 43 11 187 20029 
8 43 26 186 20029 
8 44 5 187 20029 
8 44 20 186 20029 
8 44 35 186 20029 
8 44 50 187 20029 
8 45 5 186 20029 
8 45 20 187 20029 
8 45 35 186 20029 
8 45 50 187 20029 
8 46 5 186 20029 
8 46 20 187 20029 
8 46 35 186 20029 
8 46 50 187 20029 
8 47 5 186 20029 
8 47 20 187 20029 
8 47 35 186 20029 
8 47 50 187 20029 
8 48 5 186 20029 
8 48 20 187 20029 
8 48 35 186 20029 
8 48 50 187 20029 
8 49 5 186 20029 
8 49 20 187 20029 
8 49 35 186 20029 
8 49 50 187 20029 
8 50 5 186 20029 
8 50 20 187 20029 
8 50 35 186 20029 
8 50 50 187 20029 
8 51 5 186 20029 
8 51 20 187 20029 
8 51 35 186 20029 
8 51 50 187 20029 
8 52 5 186 20029 
8 52 20 187 20029 
8 52 35 186 20029 
8 52 50 187 20029 
8 53 5 186 20029 
8 53 20 187 20029 
8 53 35 186 20029 
8 53 50 187 20029 
8 54 5 187 20029 
8 54 20 186 20029 
8 54 35 187 20029 
8 54 50 186 20029 
8 55 5 187 20029 
8 55 20 186 20029 
8 55 35 187 20029 
8 55 50 186 20029 
8 56 5 187 20029 
8 56 20 186 20029 
8 56 35 187 20029 
8 56 50 186 20029 
8 57 5 187 20029 
8 57 20 186 20029 
8 57 35 187 20029 
8 57 50 186 20029 
8 58 5 187 20029 
8 58 20 186 20029 
8 58 35 187 20029 
8 59 14 187 20029 
8 59 29 186 20029 
8 59 44 186 20029 
8 59 59 187 20029 
9 0 14 186 20029 
9 0 29 187 20029 
9 0 44 186 20029 
9 0 59 187 20029 
9 1 14 186 20029 
9 1 29 187 20029 
9 1 44 186 20029 
9 1 59 187 20029 
9 2 14 186 20029 
9 2 29 187 20029 
9 2 44 186 20029 
9 2 59 187 20029 
9 3 14 186 20029 
9 3 29 187 20029 
9 3 44 186 20029 
9 3 59 187 20029 
9 4 14 186 20029 
9 4 29 187 20029 
9 4 44 186 20029 
9 4 59 187 20029 
9 5 14 187 20029 
9 5 29 186 20029 
9 5 44 187 20029 
9 5 59 186 20029 
9 6 14 187 20029 
9 6 29 186 20029 
9 6 44 187 20029 
9 6 59 186 20029 
9 7 14 187 20029 
9 7 29 186 20029 
9 7 44 187 20029 
9 7 59 186 20029 
9 8 14 187 20029 
9 8 29 186 20029 
9 8 44 187 20029 
9 8 59 186 20029 
9 9 14 187 20029 
9 9 29 186 20029 
9 9 44 187 20029 
9 9 59 186 20029 
9 10 14 187 20029 
9 10 29 186 20029 
9 10 44 187 20029 
9 10 59 186 20029 
9 11 14 187 20029 
9 11 29 186 20029 
9 11 44 187 20029 
9 11 59 186 20029 
9 12 14 187 20029 
9 12 29 186 20029 
9 12 44 187 20029 
9 12 59 186 20029 
9 13 14 187 20029 
9 13 29 186 20029 
9 13 44 187 20029 
9 14 23 187 20029 
9 14 38 186 20029 
9 14 53 187 20029 
9 15 8 186 20029 
9 15 23 187 20029 
9 15 38 186 20029 
9 15 53 187 20029 
9 16 8 186 20029 
9 16 23 187 20029 
9 16 38 187 20029 
9 16 53 186 20029 
9 17 8 187 20029 
9 17 23 186 20029 
9 17 38 187 20029 
9 17 53 186 20029 
9 18 8 187 20029 
9 18 23 186 20029 
9 18 38 187 20029 
9 18 53 186 20029 
9 19 8 187 20029 
9 19 23 186 20029 
9 19 38 187 20029 
9 19 53 186 20029 
9 20 8 187 20029 
9 20 23 186 20029 
9 20 38 187 20029 
9 20 53 186 20029 
9 21 8 187 20029 
9 21 23 186 20029 
9 21 38 187 20029 
9 21 53 186 20029 
9 22 8 187 20029 
9 22 23 186 20029 
9 22 38 187 20029 
9 22 53 186 20029 
9 23 8 187 20029 
9 23 23 186 20029 
9 23 38 187 20029 
9 23 53 186 20029 
9 24 8 187 20029 
9 24 23 186 20029 
9 24 38 187 20029 
9 24 53 186 20029 
9 25 8 187 20029 
9 25 23 186 20029 
9 25 38 187 20029 
9 25 53 186 20029 
9 26 8 187 20029 
9 26 23 186 20029 
9 26 38 187 20029 
9 26 53 186 20029 
9 27 8 187 20029 
9 27 23 186 20029 
9 27 38 187 20029 
9 27 53 187 20029 
9 28 8 186 20029 
9 28 23 187 20029 
9 28 38 186 20029 
9 28 53 187 20029 
9 29 32 187 20029 
9 29 47 186 20029 
9 30 2 186 20029 
9 30 17 187 20029 
9 30 32 186 20029 
9 30 47 187 20029 
9 31 2 186 20029 
9 31 17 187 20029 
9 31 32 186 20029 
9 31 47 187 20029 
9 32 2 186 20029 
9 32 17 187 20029 
9 32 32 186 20029 
9 32 47 187 20029 
9 33 2 186 20029 
9 33 17 187 20029 
9 33 32 186 20029 
9 33 47 187 20029 
9 34 2 186 20029 
9 34 17 187 20029 
9 34 32 186 20029 
9 34 47 187 20029 
