h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
8 13 23 373 17006 
8 13 38 373 17006 
8 13 53 373 17006 
8 14 8 373 17006 
8 14 23 373 17006 
8 14 38 373 17006 
8 14 53 373 17006 
8 15 8 373 17006 
8 15 23 373 17006 
8 15 38 373 17006 
8 15 53 373 17006 
8 16 8 373 17006 
8 16 23 372 17006 
8 16 38 373 17006 
8 16 53 373 17006 
8 17 8 373 17006 
8 17 23 373 17006 
8 17 38 374 17006 
8 17 53 373 17006 
8 18 8 373 17006 
8 18 23 373 17006 
8 18 38 373 17006 
8 18 53 373 17006 
8 19 8 373 17006 
8 19 23 373 17006 
8 19 38 373 17006 
8 19 53 373 17006 
8 20 8 373 17006 
8 20 23 373 17006 
8 20 38 373 17006 
8 20 53 373 17006 
8 21 8 373 17006 
8 21 23 373 17006 
8 21 38 373 17006 
8 21 53 373 17006 
8 22 8 373 17006 
8 22 23 373 17006 
8 22 38 373 17006 
8 22 53 373 17006 
8 23 8 373 17006 
8 23 23 373 17006 
8 23 38 373 17006 
8 23 53 373 17006 
8 24 8 373 17006 
8 24 23 372 17006 
8 24 38 373 17006 
8 24 53 373 17006 
8 25 8 373 17006 
8 25 23 373 17006 
8 25 57 373 17006 
8 26 12 373 17006 
8 26 27 373 17006 
8 26 42 373 17006 
8 26 57 373 17006 
8 27 12 373 17006 
8 27 27 373 17006 
8 27 42 373 17006 
8 27 57 373 17006 
8 28 12 373 17006 
8 28 27 373 17006 
8 28 42 374 17006 
8 28 57 373 17006 
8 29 12 373 17006 
8 29 27 373 17006 
8 29 42 373 17006 
8 29 57 373 17006 
8 30 12 373 17006 
8 30 27 373 17006 
8 30 42 373 17006 
8 30 57 372 17006 
8 31 12 373 17006 
8 31 27 373 17006 
8 31 42 373 17006 
8 31 57 373 17006 
8 32 12 373 17006 
8 32 27 373 17006 
8 32 42 373 17006 
8 32 57 373 17006 
8 33 12 373 17006 
8 33 27 373 17006 
8 33 42 373 17006 
8 33 57 373 17006 
8 34 12 374 17006 
8 34 27 373 17006 
8 34 42 373 17006 
8 34 57 373 17006 
8 35 12 373 17006 
8 35 27 373 17006 
8 35 42 373 17006 
8 35 57 373 17006 
8 36 12 373 17006 
8 36 27 373 17006 
8 36 42 373 17006 
8 36 57 373 17006 
8 37 12 373 17006 
8 37 27 373 17006 
8 37 42 373 17006 
8 37 57 373 17006 
8 38 12 373 17006 
8 38 27 373 17006 
8 38 42 372 17006 
8 38 57 373 17006 
8 39 12 373 17006 
8 39 27 373 17006 
8 39 42 374 17006 
8 39 57 373 17006 
8 40 12 373 17006 
8 40 27 373 17006 
8 41 16 373 17006 
8 41 31 373 17006 
8 41 46 373 17006 
8 42 1 373 17006 
8 42 16 373 17006 
8 42 31 373 17006 
8 42 46 373 17006 
8 43 1 373 17006 
8 43 16 373 17006 
8 43 31 373 17006 
8 43 46 373 17006 
8 44 1 373 17006 
8 44 16 373 17006 
8 44 31 373 17006 
8 44 46 373 17006 
8 45 1 374 17006 
8 45 16 373 17006 
8 45 31 373 17006 
8 45 46 372 17006 
8 46 1 373 17006 
8 46 16 373 17006 
8 46 31 373 17006 
8 46 46 373 17006 
8 47 1 373 17006 
8 47 16 373 17006 
8 47 31 373 17006 
8 47 46 373 17006 
8 48 1 373 17006 
8 48 16 373 17006 
8 48 31 373 17006 
8 48 46 373 17006 
8 49 1 373 17006 
8 49 16 373 17006 
8 49 31 373 17006 
8 49 46 373 17006 
8 50 1 373 17006 
8 50 16 373 17006 
8 50 31 373 17006 
8 50 46 373 17006 
8 51 1 373 17006 
8 51 16 373 17006 
8 51 31 373 17006 
8 51 46 373 17006 
8 52 1 373 17006 
8 52 16 373 17006 
8 52 31 373 17006 
8 52 46 373 17006 
8 53 1 373 17006 
8 53 16 373 17006 
8 53 31 373 17006 
8 53 46 373 17006 
8 54 1 373 17006 
8 54 16 373 17006 
8 54 31 373 17006 
8 54 46 373 17006 
8 55 1 373 17006 
8 55 16 373 17006 
8 55 31 373 17006 
8 56 5 373 17006 
8 56 20 373 17006 
8 56 35 373 17006 
8 56 50 373 17006 
8 57 5 373 17006 
8 57 20 373 17006 
8 57 35 373 17006 
8 57 50 373 17006 
8 58 5 373 17006 
8 58 20 373 17006 
8 58 35 373 17006 
8 58 50 373 17006 
8 59 5 373 17006 
8 59 20 373 17006 
8 59 35 373 17006 
8 59 50 373 17006 
9 0 5 373 17006 
9 0 20 373 17006 
9 0 35 373 17006 
9 0 50 373 17006 
9 1 5 373 17006 
9 1 20 373 17006 
9 1 35 373 17006 
9 1 50 373 17006 
9 2 5 373 17006 
9 2 20 373 17006 
9 2 35 373 17006 
9 2 50 373 17006 
9 3 5 373 17006 
9 3 20 373 17006 
9 3 35 373 17006 
9 3 50 373 17006 
9 4 5 373 17006 
9 4 20 373 17006 
9 4 35 373 17006 
9 4 50 373 17006 
9 5 5 373 17006 
9 5 20 373 17006 
9 5 35 373 17006 
9 5 50 373 17006 
9 6 5 374 17006 
9 6 20 373 17006 
9 6 35 373 17006 
9 6 50 373 17006 
9 7 5 373 17006 
9 7 20 373 17006 
9 7 35 373 17006 
9 7 50 373 17006 
9 8 5 372 17006 
9 8 20 373 17006 
9 8 35 373 17006 
9 8 50 373 17006 
9 9 5 373 17006 
9 9 20 373 17006 
9 9 35 373 17006 
9 9 50 373 17006 
9 10 5 373 17006 
9 10 20 373 17006 
9 10 35 373 17006 
9 11 24 374 17006 
9 11 39 373 17006 
9 11 54 373 17006 
9 12 9 373 17006 
9 12 24 373 17006 
9 12 39 373 17006 
9 12 54 373 17006 
9 13 9 373 17006 
