1000n,11/17/2021,9:20:42 AM,0,="",1550E,XR1,1980.0,0,16,1,1,64.42934 ,39.75194 ,11.06703 ,38.77413 ,35.79205 ,52.10989 ,128.1078 ,219.2918 ,319.0319 ,331.2338 ,361.5024 ,382.5128 ,375.2222 ,413.0216 ,430.0203 ,454.0452 ,436.2247 ,464.3492 ,452.196 ,452.1129 ,489.5373 ,464.4566 ,380.4913 ,391.3114 ,341.8068 ,362.8957 ,310.7495 ,222.7907 ,209.8441 ,157.7409 ,128.724 ,81.95761 ,54.43717 ,39.5704 ,5.80297 ,19.63501 ,15.9357 ,22.46002 ,18.47098 ,16.35612 ,19.55136 ,23.34805 ,16.42331 ,18.80903 ,15.54676 ,13.45059 ,12.29307 ,10.29543 ,8.12642 ,11.7916 ,9.99646 ,9.47916 ,7.594 ,9.02751 ,5.19852 ,7.11302 ,-6.62684 ,-57.95955 ,13.0105 ,74.19228 ,82.27064 ,157.3055 ,254.0884 ,336.1327 ,409.7742 ,419.5329 ,411.5529 ,349.2425 ,294.9786 ,176.8159 ,100.2856 ,42.47444 ,14.33411 ,3.64893 ,2.02007 ,-8.70268 ,-2.11877 ,-10.22046 ,-11.32492 ,-14.9001 ,-18.07763 ,-20.89106 ,-17.43752 ,-20.78283 ,-21.01971 ,-20.53885 ,-24.82545 ,-27.05091 ,-28.73863 ,-31.80095 ,-33.97492 ,-30.75943 
1000n,11/17/2021,9:20:42 AM,0,="",1550E,YR1,1980.0,0,16,1,1,107.1613 ,114.1418 ,102.6847 ,106.071 ,116.5676 ,103.5926 ,100.5284 ,83.98258 ,36.77696 ,49.70639 ,38.35666 ,13.36616 ,-14.01061 ,-35.58331 ,-35.54177 ,-51.58501 ,-58.74687 ,-90.23147 ,-85.76899 ,-105.9849 ,-109.2943 ,-101.8548 ,-111.1212 ,-112.376 ,-140.5975 ,-116.2271 ,-117.4332 ,-100.0253 ,-95.48887 ,-87.04129 ,-78.94842 ,-78.5776 ,-70.44342 ,-63.3109 ,-52.71981 ,-41.98084 ,-40.05835 ,-31.72053 ,-23.11963 ,-22.27127 ,-14.66401 ,-7.70728 ,-4.26541 ,1.90161 ,-0.40558 ,-0.42907 ,2.06423 ,3.83489 ,4.20986 ,1.88792 ,2.27621 ,1.68514 ,2.4321 ,0.78717 ,2.9268 ,2.83189 ,-2.35081 ,-14.34803 ,8.16196 ,21.44098 ,-26.33512 ,-27.58348 ,-18.31574 ,-73.93333 ,-76.25937 ,-118.382 ,-115.9702 ,-147.6944 ,-169.03 ,-179.06 ,-170.5174 ,-167.7996 ,-158.3154 ,-150.7577 ,-137.4331 ,-123.6341 ,-116.9238 ,-113.496 ,-110.4858 ,-106.3221 ,-107.1121 ,-111.2689 ,-105.0602 ,-104.2743 ,-107.0035 ,-109.2571 ,-107.4289 ,-105.7154 ,-104.9267 ,-109.2651 ,-109.5928 ,-110.9872 
1000n,11/17/2021,9:20:42 AM,0,="",1550E,ZR1,1980.0,0,16,1,1,-4679.836 ,-4677.794 ,-4688.776 ,-4687.054 ,-4683.632 ,-4690.933 ,-4611.74 ,-4417.436 ,-4182.953 ,-3931.89 ,-3671.122 ,-3414.129 ,-3129.481 ,-2856.585 ,-2561.753 ,-2292.362 ,-1995.388 ,-1691.024 ,-1407.576 ,-1143.421 ,-937.5261 ,-884.6634 ,-839.2482 ,-813.7338 ,-744.8739 ,-685.5318 ,-614.6405 ,-544.1679 ,-458.6277 ,-378.0733 ,-319.3556 ,-243.9784 ,-178.9952 ,-134.0299 ,-91.63533 ,-64.03631 ,-41.82947 ,-23.06978 ,-8.78004 ,0.03614 ,8.06637 ,15.01436 ,14.91864 ,15.00393 ,13.26751 ,12.25748 ,11.15991 ,9.59311 ,8.87666 ,7.84136 ,7.48137 ,5.88911 ,5.24217 ,5.40984 ,4.76457 ,4.00305 ,13.43 ,-3.97205 ,2.5484 ,35.86669 ,87.4941 ,191.9251 ,354.0266 ,602.3425 ,951.2307 ,1390.678 ,1915.521 ,2499.462 ,3098.288 ,3635.628 ,4064.267 ,4356.051 ,4532.945 ,4613.268 ,4663.105 ,4681.586 ,4694.524 ,4703.829 ,4705.372 ,4704.197 ,4702.537 ,4699.915 ,4699.416 ,4698.582 ,4694.524 ,4693.959 ,4692.182 ,4691.13 ,4687.938 ,4684.772 ,4684.29 ,4682.304 
1000n,11/17/2021,9:21:38 AM,0,="",1550E,XR2,1980.0,0,16,1,2,8.94928 ,47.47313 ,21.12281 ,31.05902 ,56.1012 ,23.47362 ,112.4537 ,202.3082 ,203.9315 ,337.2709 ,312.5692 ,376.6256 ,364.1694 ,377.5295 ,410.4823 ,427.0676 ,454.8913 ,455.4597 ,440.0508 ,402.4926 ,352.1002 ,471.2152 ,433.8607 ,408.6824 ,397.6664 ,332.2339 ,232.3347 ,244.7631 ,203.4976 ,146.7874 ,80.80658 ,59.20552 ,55.93381 ,28.77671 ,15.38391 ,14.32835 ,10.46743 ,2.61188 ,8.81992 ,14.29207 ,21.27073 ,9.1144 ,9.24597 ,9.56604 ,9.2155 ,7.19256 ,5.09368 ,12.70364 ,8.66479 ,6.48099 ,8.69968 ,6.89261 ,10.51478 ,9.71771 ,6.57604 ,11.15422 ,-52.91139 ,-75.25622 ,-17.9553 ,121.9008 ,58.88163 ,203.3063 ,201.6208 ,303.8362 ,428.3729 ,431.5795 ,403.6946 ,380.3447 ,272.6736 ,186.233 ,95.81814 ,57.06786 ,14.37006 ,10.50711 ,-6.52631 ,2.48388 ,-9.24704 ,-3.50693 ,-4.00517 ,-8.02709 ,-12.20813 ,-11.53409 ,-12.4922 ,-13.40779 ,-14.3552 ,-14.71479 ,-16.09127 ,-19.30324 ,-20.64162 ,-22.36577 ,-25.90651 ,-14.13588 
1000n,11/17/2021,9:21:38 AM,0,="",1550E,YR2,1980.0,0,16,1,2,117.4502 ,102.6056 ,108.5779 ,104.4093 ,120.5802 ,119.2112 ,81.89725 ,78.11671 ,60.98317 ,20.98197 ,27.49836 ,12.72374 ,-6.72108 ,-36.22979 ,-30.54934 ,-58.60197 ,-67.7995 ,-51.38033 ,-78.86349 ,-83.98055 ,-82.62884 ,-60.83726 ,-122.9411 ,-66.55215 ,-81.764 ,-68.30715 ,-105.0944 ,-76.78515 ,-97.07718 ,-91.26793 ,-98.72617 ,-83.91722 ,-71.54598 ,-62.93434 ,-49.83508 ,-41.10523 ,-29.81119 ,-27.32296 ,-14.79542 ,-16.72263 ,-10.54526 ,-3.33484 ,0.21088 ,0.09878 ,-4.48735 ,-2.29133 ,-1.18348 ,-1.81228 ,-1.1393 ,0.77457 ,0.08077 ,0.90111 ,0.196 ,-1.58404 ,-2.44246 ,-2.65578 ,-21.79765 ,0.50664 ,-15.17385 ,-22.50492 ,-14.62668 ,-78.87971 ,-74.32835 ,-74.12923 ,-99.71086 ,-143.1339 ,-137.3509 ,-152.1098 ,-176.9924 ,-199.4817 ,-180.6746 ,-176.5416 ,-159.7543 ,-148.2889 ,-141.0703 ,-130.0378 ,-129.1007 ,-118.6831 ,-116.7727 ,-115.9565 ,-112.3626 ,-109.0038 ,-107.3057 ,-109.8377 ,-107.1189 ,-108.3568 ,-106.3117 ,-108.9136 ,-109.273 ,-108.4537 ,-112.1718 ,-112.2646 
1000n,11/17/2021,9:21:38 AM,0,="",1550E,ZR2,1980.0,0,16,1,2,-4675.109 ,-4675.555 ,-4678.21 ,-4684.18 ,-4688.951 ,-4669.787 ,-4606.291 ,-4415.719 ,-4196.801 ,-3935.863 ,-3686.53 ,-3406.861 ,-3133.039 ,-2850.507 ,-2561.187 ,-2268.962 ,-1984.223 ,-1704.756 ,-1409.017 ,-1136.2 ,-934.7376 ,-860.7196 ,-825.037 ,-787.1083 ,-723.3671 ,-658.1064 ,-606.4749 ,-524.8154 ,-461.4311 ,-386.3563 ,-310.2858 ,-240.3544 ,-184.6912 ,-135.7721 ,-90.46522 ,-65.15103 ,-40.17404 ,-20.09054 ,-6.69084 ,1.30878 ,8.99859 ,17.63756 ,19.1913 ,17.52811 ,16.41397 ,14.22549 ,11.62073 ,9.96403 ,8.3455 ,7.2535 ,6.5152 ,4.51574 ,2.85193 ,1.35749 ,0.44726 ,-0.43104 ,14.9945 ,-9.9808 ,4.28617 ,18.47545 ,100.0461 ,191.1105 ,347.1421 ,591.7548 ,935.9488 ,1384.85 ,1909.221 ,2501.834 ,3098.698 ,3627.369 ,4053.054 ,4355.576 ,4527.155 ,4611.176 ,4654.761 ,4674.771 ,4683.528 ,4695.917 ,4698.812 ,4696.157 ,4693.552 ,4692.784 ,4691.71 ,4689.533 ,4688.499 ,4687.916 ,4685.953 ,4683.042 ,4681.294 ,4678.869 ,4677.998 ,4678.336 
1000n,11/17/2021,9:22:18 AM,0,="",1550E,XR3,1980.0,0,16,3,3,-2.75713 ,50.2333 ,41.78863 ,39.12067 ,5.98139 ,64.76777 ,61.85966 ,189.1913 ,288.1674 ,357.1403 ,321.029 ,349.1607 ,372.9596 ,445.2803 ,416.713 ,451.5687 ,442.1513 ,448.6545 ,426.3938 ,439.1297 ,455.1608 ,378.4394 ,350.8326 ,375.717 ,345.4901 ,263.4302 ,279.7923 ,247.3324 ,204.4906 ,142.2808 ,117.4279 ,71.44955 ,59.80892 ,11.79725 ,-0.33126 ,29.13421 ,21.33851 ,12.32001 ,25.76194 ,9.70901 ,17.24423 ,17.82007 ,12.34952 ,8.15183 ,8.80717 ,8.86512 ,9.57079 ,6.16811 ,6.79369 ,4.13207 ,4.55357 ,2.71352 ,2.8569 ,2.98176 ,4.01817 ,6.53135 ,57.19351 ,83.44351 ,54.67146 ,62.4146 ,43.46206 ,115.913 ,237.5328 ,340.0204 ,403.5856 ,406.5921 ,399.9624 ,363.9781 ,277.5141 ,178.9004 ,101.8897 ,34.44158 ,6.58931 ,-6.56062 ,-5.57703 ,-8.19848 ,-9.16371 ,-5.76018 ,-8.29337 ,-11.22098 ,-16.73878 ,-15.25284 ,-16.9884 ,-17.15797 ,-19.57585 ,-19.76715 ,-20.54656 ,-19.92976 ,-22.6599 ,-27.59352 ,-25.12041 ,-30.47051 
1000n,11/17/2021,9:22:18 AM,0,="",1550E,YR3,1980.0,0,16,3,3,116.0711 ,96.59182 ,85.14177 ,118.3702 ,106.908 ,109.0166 ,87.50068 ,62.22545 ,42.22637 ,29.85221 ,33.54156 ,27.19742 ,-22.0378 ,-34.21336 ,-31.28194 ,-54.08173 ,-85.76493 ,-73.02194 ,-89.73192 ,-111.0523 ,-125.9202 ,-160.5743 ,-134.9383 ,-69.62577 ,-84.70251 ,-110.8101 ,-117.2943 ,-105.9406 ,-89.64816 ,-103.4634 ,-85.43388 ,-91.54504 ,-75.1045 ,-71.67149 ,-60.62447 ,-44.81662 ,-35.67649 ,-30.80513 ,-24.59278 ,-23.63687 ,-13.50567 ,-10.68502 ,-5.0386 ,-0.95286 ,1.50091 ,1.52381 ,0.0929 ,-2.72325 ,0.46495 ,-0.35735 ,-0.47979 ,-2.32611 ,-3.55511 ,-4.59888 ,-1.81011 ,-6.01631 ,-9.38499 ,14.31763 ,13.24355 ,32.73566 ,-30.34264 ,-64.47291 ,-68.58885 ,-92.73078 ,-119.1042 ,-131.5211 ,-148.7841 ,-167.5504 ,-174.02 ,-186.6917 ,-189.9438 ,-173.6056 ,-165.9258 ,-149.6287 ,-139.1725 ,-131.7811 ,-127.953 ,-120.8726 ,-115.1996 ,-116.3225 ,-114.3322 ,-113.4985 ,-113.3892 ,-110.8277 ,-110.0341 ,-114.1118 ,-112.1799 ,-112.2183 ,-108.9352 ,-109.0515 ,-111.1072 ,-107.1395 
1000n,11/17/2021,9:22:18 AM,0,="",1550E,ZR3,1980.0,0,16,3,3,-4691.316 ,-4681.726 ,-4683.771 ,-4692.714 ,-4690.396 ,-4686.646 ,-4619.51 ,-4420.4 ,-4198.242 ,-3944.116 ,-3688.141 ,-3400.246 ,-3132.781 ,-2850.481 ,-2557.953 ,-2293.243 ,-1994.129 ,-1705.256 ,-1431.85 ,-1140.01 ,-937.9294 ,-886.0617 ,-859.6151 ,-787.6791 ,-729.4012 ,-675.2673 ,-603.6247 ,-538.5487 ,-465.4919 ,-391.8565 ,-313.8207 ,-240.0038 ,-187.5752 ,-136.8878 ,-95.36778 ,-70.62961 ,-45.79571 ,-27.58602 ,-12.40812 ,-2.22178 ,3.55865 ,10.56638 ,14.6558 ,13.83144 ,10.75331 ,9.5891 ,8.12628 ,5.32678 ,6.79438 ,5.18258 ,4.88348 ,4.33995 ,2.79658 ,2.77407 ,2.85809 ,3.64934 ,13.09967 ,15.73622 ,17.31694 ,35.94438 ,92.26917 ,183.0367 ,354.442 ,608.2702 ,950.7849 ,1386.202 ,1921.023 ,2505.009 ,3096.192 ,3633.257 ,4062.995 ,4356.813 ,4529.051 ,4618.659 ,4663.65 ,4679.749 ,4690.363 ,4701.747 ,4703.394 ,4703.739 ,4700.017 ,4699.116 ,4696.532 ,4694.393 ,4693.018 ,4691.217 ,4689.291 ,4687.508 ,4685.306 ,4684.499 ,4683.232 ,4682.264 
1000n,11/17/2021,9:22:40 AM,0,="",1550E,XR4,1980.0,0,16,3,4,-111.0361 ,35.68768 ,84.99687 ,17.00383 ,59.22108 ,52.54155 ,97.39434 ,184.6822 ,294.6757 ,298.5201 ,378.1547 ,392.7226 ,415.3916 ,430.3568 ,436.4607 ,445.5742 ,428.0211 ,431.824 ,413.7977 ,366.6823 ,381.4853 ,544.2118 ,488.5625 ,382.5871 ,439.7605 ,331.1659 ,282.8553 ,270.7447 ,178.4739 ,134.0403 ,98.45548 ,94.41841 ,64.69238 ,37.37179 ,43.01696 ,39.10348 ,24.75035 ,27.6694 ,23.79089 ,33.25945 ,30.29311 ,23.2632 ,29.35614 ,29.76662 ,32.97151 ,26.11157 ,27.7323 ,-176.9599 ,23.9059 ,21.88509 ,23.46489 ,24.56718 ,22.45329 ,27.63252 ,18.91935 ,17.2399 ,-32.10878 ,72.42917 ,-30.55036 ,56.57811 ,91.0659 ,188.8894 ,325.9819 ,321.4582 ,391.1071 ,484.5119 ,432.438 ,383.4964 ,284.3537 ,203.8945 ,122.037 ,41.45662 ,33.46922 ,-5.78774 ,-3.56729 ,3.36761 ,0.44124 ,-6.45279 ,-11.48409 ,-16.81816 ,-17.28411 ,-17.96097 ,-18.48038 ,-21.02114 ,-21.06037 ,-25.248 ,-26.90734 ,-26.66372 ,-29.7988 ,-33.61114 ,-37.63233 ,-39.2844 
