<L00>	333490.375	8761837.976	4567.697	0
<L01>	333506.339	8761816.082	4560.149	0
<L02>	333523.45	8761784.572	4550.027	0  
<L03>	333548.235	8761731.683	4533.963	0
<L04>	333569.42	8761703.288	4521.976	0  
<L05>	333598.595	8761653.851	4503.656	0
<L06>	333612.12	8761628.78	4496.467	0  
<L07>	333644.021	8761569.218	4480.919	0
<L08>	333654.566	8761537.857	4472.326	0
<L09>	333697.063	8761505.719	4446.665	0
<L10>	333716.58	8761471.557	4440.349	0  
<L11>	333746.961	8761400.041	4423.354	0
<L12>	333763.411	8761366.431	4423.545	0
<L13>	333798.893	8761303.316	4406.946	0
<L14>	333822.015	8761263.978	4408.62	0  
<L15>	333862.954	8761193.772	4399.447	0
<L16>	333884.46	8761155.143	4398.285	0  
<L17>	333930.485	8761077.869	4394.687	0
<L18>	333949.351	8761038.743	4393.207	0
<L19>	333996.668	8760956.187	4391.777	0
<L20>	334015.526	8760924.168	4395.088	0
<L21>	334060.96	8760851.765	4395.645	0  
<L22>	334076.934	8760818.401	4402.353	0
<L23>	334113.642	8760751.083	4398.136	0
<L24>	334131.507	8760718.814	4397.597	0
<L25>	334167.568	8760655.594	4407.459	0
<L26>	334184.619	8760623.417	4411.62	0  
<L27>	334231.266	8760545.258	4422.156	0
<L28>	334267.915	8760494.797	4426.288	0
<L29>	334353.671	8760533.003	4416.661	0
<L30>	334402.301	8760561.553	4402.248	0
<L31>	334493.554	8760619.704	4408.895	0
<L32>	334510.429	8760677.295	4416.521	0
<L33>	334599.685	8760731.933	4421.474	0
<L34>	334597.107	8760783.145	4421.415	0
<L35>	334625.438	8760849	4423.112	0    
<L36>	334666.844	8760846.786	4421.569	0
<L37>	334753.928	8760897.895	4420.206	0
<L38>	334783.505	8760920.165	4419.212	0
<L39>	334867.988	8760910.983	4421.656	0
<L40>	334907.547	8760911.326	4419.606	0
<L41>	334972.73	8760933.507	4446.096	0  
<L42>	335024.014	8760962.036	4456.621	0
<L43>	335099.963	8760999.252	4495.047	0
<L44>	335120.441	8761014.165	4506.358	0
<L45>	335217.432	8761073.853	4540.042	0
<L46>	335251.111	8761089.264	4548.239	0
<L47>	335326.406	8761140.064	4554.276	0
<L48>	335365.813	8761161.925	4561.444	0
<L49>	335432.618	8761209.284	4572.874	0
<L50>	335475.951	8761236.943	4575.994	0
<L51>	335555.004	8761301.004	4605.386	0
<L52>	335574.047	8761345.975	4601.283	0
<L53>	335609.095	8761428.396	4585.221	0
<L54>	335632.626	8761459.029	4575.094	0
<L55>	335698.375	8761507.869	4554.811	0
<L56>	335742.571	8761532.68	4549.106	0
<L57>	335837.698	8761555.365	4580.699	0
<L58>	335889.522	8761575.328	4570.383	0
<L59>	335985.279	8761616.398	4584.482	0
<L60>	336027.886	8761636.194	4572.94	0  
<L61>	336040.608	8761698.927	4545.22	0  
<L62>	336008.762	8761739.804	4527.635	0
<L63>	335943.928	8761829.073	4518.586	0
<L64>	335917.847	8761883.452	4514.53	0  
<L65>	335840.164	8761965.2	4467.016	0  
<L66>	335808.896	8762007.98	4450.489	0
<L67>	335741.709	8762100.922	4469.461	0
<L68>	335706.962	8762135.744	4488.703	0
<L69>	335652.611	8762221.628	4556.356	0
<L70>	335617.497	8762259.335	4593.16	0  
<L71>	335553.223	8762338.127	4655.172	0
<L72>	335518.467	8762375.05	4685.828	0
<L73>	335446.874	8762451.139	4715.453	0
<L74>	335424.267	8762502.922	4723.841	0
<L75>	335364.153	8762592.907	4736.795	0
<L76>	335330.472	8762628.833	4743.396	0
<L77>	335241.567	8762591.678	4713.998	0
<L78>	335198.678	8762611.935	4701.079	0
<L79>	335135.7	8762687.426	4715.848	0  
<L80>	335106.816	8762727.368	4721.887	0
<L81>	335056.624	8762746.016	4727.351	0
<L82>	335004.339	8762715.619	4717.783	0
<L83>	334916.552	8762662.767	4686.871	0
<L84>	334869.756	8762637.592	4665.745	0
<L85>	334779.398	8762589.604	4668.346	0
<L86>	334647.317	8762505.877	4623.611	0
<L87>	334600.027	8762478.198	4591.181	0
<L88>	334511.683	8762435.856	4552.266	0
<L89>	334373.572	8762351.215	4481.379	0
<L90>	334322.605	8762315.133	4471.905	0
<L91>	334192.861	8762228.709	4475.204	0
<L92>	334082.038	8762218.846	4482.06	0  
<L93>	334024.917	8762219.219	4481.017	0
<L94>	333927.153	8762236.442	4472.504	0
<L95>	333873.837	8762220.492	4470.093	0
<L96>	333836.824	8762034.878	4477.435	0
<L97>	333749.743	8761982.877	4498.531	0
<L98>	333617.784	8761903.169	4538.491	0
<L99>	333577.951	8761882.681	4550.789	0
