Label	Type	Symbol	Description	Name on GPS	Comment	Easting	Northing	Zone	Elevation	Distance to Active Point	Bearing
1100 100	user	Cemetery	04-NOV-01 9:53:38	1100 100	04-NOV-01 9:53:38	694970.444	5800708.856	18U	492.077	0000.0000	0000.0000
1100 150	user	Cemetery	04-NOV-01 10:01:12	1100 150	04-NOV-01 10:01:12	694996.005	5800748.793	18U	491.596	0000.0000	0000.0000
1100 200	user	Cemetery	04-NOV-01 10:09:33	1100 200	04-NOV-01 10:09:33	695019.107	5800793.347	18U	492.798	0000.0000	0000.0000
1100 250	user	Cemetery	04-NOV-01 10:21:37	1100 250	04-NOV-01 10:21:37	695048.650	5800840.490	18U	491.356	0000.0000	0000.0000
1100 300	user	Cemetery	04-NOV-01 10:35:46	1100 300	04-NOV-01 10:35:46	695066.450	5800874.594	18U	491.836	0000.0000	0000.0000
1100 50	user	Cemetery	04-NOV-01 9:41:28	1100 50	04-NOV-01 9:41:28	694946.296	5800666.866	18U	490.635	0000.0000	0000.0000
1200 100	user	Cemetery	04-NOV-01 8:37:16	1200 100	04-NOV-01 8:37:16	695058.740	5800658.338	18U	505.776	0000.0000	0000.0000
1200 150	user	Cemetery	04-NOV-01 8:29:16	1200 150	04-NOV-01 8:29:16	695083.380	5800697.278	18U	508.419	0000.0000	0000.0000
1200 50	user	Cemetery	04-NOV-01 8:48:37	1200 50	04-NOV-01 8:48:37	695031.487	5800613.872	18U	504.093	0000.0000	0000.0000
1300 100	user	Cemetery	04-NOV-01 8:13:11	1300 100	04-NOV-01 8:13:11	695143.730	5800610.053	18U	518.513	0000.0000	0000.0000
1300 50	user	Cemetery	04-NOV-01 7:57:57	1300 50	04-NOV-01 7:57:57	695120.659	5800562.102	18U	547.112	0000.0000	0000.0000
