h

h
<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
8 34 55 186 17128 
8 35 10 187 17128 
8 35 25 186 17128 
8 35 40 187 17128 
8 35 55 186 17128 
8 36 10 187 17128 
8 36 25 186 17128 
8 36 40 187 17128 
8 36 55 186 17128 
8 37 10 186 17128 
8 37 25 187 17128 
8 38 3 187 17128 
8 38 18 186 17128 
8 38 33 187 17128 
8 38 48 186 17128 
8 39 3 187 17128 
8 39 18 186 17128 
8 39 33 187 17128 
8 39 48 186 17128 
8 40 3 187 17128 
8 40 18 186 17128 
8 40 33 187 17128 
8 40 48 186 17128 
8 41 3 187 17128 
8 41 18 186 17128 
8 41 33 187 17128 
8 41 48 186 17128 
8 42 3 187 17128 
8 42 18 186 17128 
8 42 33 187 17128 
8 42 48 186 17128 
8 43 3 187 17128 
8 43 18 187 17128 
8 43 33 186 17128 
8 43 48 187 17128 
8 44 3 186 17128 
8 44 18 187 17128 
8 44 33 186 17128 
8 44 48 187 17128 
8 45 3 186 17128 
8 45 18 187 17128 
8 45 33 186 17128 
8 45 48 187 17128 
8 46 3 186 17128 
8 46 18 187 17128 
8 46 33 186 17128 
8 46 48 187 17128 
8 47 3 186 17128 
8 47 18 187 17128 
8 47 33 186 17128 
8 47 48 187 17128 
8 48 3 186 17128 
8 48 18 187 17128 
8 48 33 186 17128 
8 48 48 187 17128 
8 49 3 186 17128 
8 49 18 187 17128 
8 49 33 186 17128 
8 49 48 187 17128 
8 50 3 186 17128 
8 50 18 187 17128 
8 50 33 186 17128 
8 50 48 187 17128 
8 51 3 186 17128 
8 51 18 187 17128 
8 51 33 186 17128 
8 51 48 186 17128 
8 52 3 187 17128 
8 52 18 186 17128 
8 52 33 187 17128 
8 53 11 187 17128 
8 53 26 186 17128 
8 53 41 187 17128 
8 53 56 187 17128 
8 54 11 186 17128 
8 54 26 187 17128 
8 54 41 186 17128 
8 54 56 187 17128 
8 55 11 186 17128 
8 55 26 187 17128 
8 55 41 186 17128 
8 55 56 187 17128 
8 56 11 186 17128 
8 56 26 187 17128 
8 56 41 186 17128 
8 56 56 187 17128 
8 57 11 186 17128 
8 57 26 187 17128 
8 57 41 186 17128 
8 57 56 187 17128 
8 58 11 186 17128 
8 58 26 187 17128 
8 58 41 186 17128 
8 58 56 187 17128 
8 59 11 186 17128 
8 59 26 187 17128 
8 59 41 186 17128 
8 59 56 187 17128 
9 0 11 186 17128 
9 0 26 187 17128 
9 0 41 186 17128 
9 0 56 187 17128 
9 1 11 186 17128 
9 1 26 187 17128 
9 1 41 186 17128 
9 1 56 187 17128 
9 2 11 186 17128 
9 2 26 187 17128 
9 2 41 186 17128 
9 2 56 187 17128 
9 3 11 186 17128 
9 3 26 187 17128 
9 3 41 186 17128 
9 3 56 187 17128 
9 4 11 187 17128 
9 4 26 186 17128 
9 4 41 187 17128 
9 4 56 186 17128 
9 5 11 187 17128 
9 5 26 186 17128 
9 5 41 187 17128 
9 5 56 186 17128 
9 6 11 187 17128 
9 6 26 186 17128 
9 6 41 187 17128 
9 6 56 186 17128 
9 7 11 187 17128 
9 7 26 186 17128 
9 7 41 187 17128 
9 8 19 187 17128 
9 8 34 186 17128 
9 8 49 187 17189 
9 9 4 186 17189 
9 9 19 187 17128 
9 9 34 186 17128 
9 9 49 187 17128 
9 10 4 186 17128 
9 10 19 187 17128 
9 10 34 186 17128 
9 10 49 187 17128 
9 11 4 186 17128 
9 11 19 187 17128 
9 11 34 186 17128 
9 11 49 187 17128 
9 12 4 186 17128 
9 12 19 187 17128 
9 12 34 186 17128 
9 12 49 187 17128 
9 13 4 186 17128 
9 13 19 187 17128 
9 13 34 186 17128 
9 13 49 187 17128 
9 14 4 186 17128 
9 14 19 187 17128 
9 14 34 187 17128 
9 14 49 186 17128 
9 15 4 187 17128 
9 15 19 186 17128 
9 15 34 187 17128 
9 15 49 186 17128 
9 16 4 187 17128 
9 16 19 186 17128 
9 16 34 187 17189 
9 16 49 186 17128 
9 17 4 187 17128 
9 17 19 186 17128 
9 17 34 187 17189 
9 17 49 186 17128 
9 18 4 187 17189 
9 18 19 186 17189 
9 18 34 187 17189 
9 18 49 186 17189 
9 19 4 187 17189 
9 19 19 186 17189 
9 19 34 187 17189 
9 19 49 186 17189 
9 20 4 187 17189 
9 20 19 186 17189 
9 20 34 187 17189 
9 20 49 186 17189 
9 21 4 186 17189 
9 21 19 187 17189 
9 21 34 186 17189 
9 21 49 187 17189 
9 22 4 186 17189 
9 22 19 187 17189 
9 22 34 186 17189 
9 22 49 187 17189 
9 23 27 187 17189 
9 23 42 186 17189 
9 23 57 187 17189 
9 24 12 186 17189 
9 24 27 187 17189 
9 24 42 187 17189 
9 24 57 186 17189 
9 25 12 187 17189 
9 25 27 186 17189 
9 25 42 187 17189 
9 25 57 186 17189 
9 26 12 187 17128 
9 26 27 186 17189 
9 26 42 187 17189 
9 26 57 186 17189 
9 27 12 187 17189 
9 27 27 186 17189 
9 27 42 187 17128 
9 27 57 186 17189 
9 28 12 187 17189 
9 28 27 186 17189 
9 28 42 187 17189 
9 28 57 186 17189 
9 29 12 187 17189 
9 29 27 186 17189 
9 29 42 187 17189 
9 29 57 186 17189 
9 30 12 187 17189 
9 30 27 186 17189 
9 30 42 187 17189 
9 30 57 186 17189 
9 31 12 187 17189 
9 31 27 186 17189 
9 31 42 187 17189 
9 31 57 186 17189 
9 32 12 187 17189 
9 32 27 186 17189 
9 32 42 187 17189 
9 32 57 186 17189 
9 33 12 187 17189 
9 33 27 186 17189 
9 33 42 187 17189 
9 33 57 186 17189 
9 34 12 187 17189 
9 34 27 186 17189 
9 34 42 187 17189 
9 34 57 187 17189 
9 35 12 186 17189 
9 35 27 187 17189 
9 35 42 186 17189 
9 35 57 187 17189 
9 36 12 186 17189 
9 36 27 187 17189 
9 36 42 186 17189 
9 36 57 187 17189 
9 37 12 186 17189 
9 37 27 187 17189 
9 37 42 186 17189 
9 37 57 187 17189 
9 38 35 187 17189 
9 38 50 186 17189 
9 39 5 187 17189 
9 39 20 186 17189 
9 39 35 187 17189 
9 39 50 186 17189 
9 40 5 187 17189 
9 40 20 186 17189 
9 40 35 187 17189 
9 40 50 186 17189 
9 41 5 187 17189 
9 41 20 186 17189 
9 41 35 187 17189 
9 41 50 186 17189 
9 42 5 187 17189 
9 42 20 186 17189 
9 42 35 186 17189 
9 42 50 187 17189 
9 43 5 186 17189 
9 43 20 187 17189 
9 43 35 186 17189 
9 43 50 187 17189 
9 44 5 186 17189 
9 44 20 187 17189 
9 44 35 186 17189 
9 44 50 187 17189 
9 45 5 187 17189 
9 45 20 186 17189 
9 45 35 187 17189 
9 45 50 186 17189 
9 46 5 187 17189 
9 46 20 186 17189 
9 46 35 187 17189 
9 46 50 186 17189 
9 47 5 187 17189 
9 47 20 186 17189 
9 47 35 187 17189 
9 47 50 186 17189 
9 48 5 187 17189 
9 48 20 186 17189 
9 48 35 187 17189 
9 48 50 186 17189 
9 49 5 187 17189 
9 49 20 186 17189 
9 49 35 187 17189 
9 49 50 186 17189 
9 50 5 187 17189 
9 50 20 186 17189 
9 50 35 187 17189 
9 50 50 186 17189 
9 51 5 187 17189 
9 51 20 186 17189 
9 51 35 187 17189 
9 51 50 186 17189 
9 52 5 187 17189 
9 52 20 186 17189 
9 52 35 187 17189 
9 52 50 186 17189 
9 53 5 187 17189 
9 53 43 187 17189 
9 53 58 186 17189 
9 54 13 187 17189 
9 54 28 186 17189 
9 54 43 187 17189 
9 54 58 186 17189 
9 55 13 187 17189 
9 55 28 187 17189 
9 55 43 186 17189 
9 55 58 187 17189 
9 56 13 186 17189 
9 56 28 187 17189 
9 56 43 186 17189 
9 56 59 187 17189 
9 57 13 186 17189 
9 57 29 187 17189 
9 57 43 186 17189 
9 57 59 187 17189 
9 58 13 186 17189 
9 58 29 187 17189 
9 58 43 186 17189 
9 58 59 187 17189 
9 59 13 186 17189 
9 59 29 187 17189 
9 59 43 186 17189 
9 59 59 187 17189 
10 0 13 186 17189 
10 0 29 187 17189 
10 0 43 186 17189 
10 0 59 187 17189 
10 1 13 186 17189 
10 1 29 187 17189 
10 1 43 186 17189 
10 1 59 187 17189 
10 2 13 186 17189 
10 2 29 187 17189 
