0	289.239	-85.5493
10	288.4	-85.378
20	285.8587	-85.4955
30	286.8546	-85.5188
40	286.8574	-85.6441
50	285.8548	-85.6229
60	284.665	-85.6875
70	285.7744	-85.6584
80	284.389	-85.5297
90	284.7828	-85.562
100	285.9253	-85.559
110	287.4984	-85.6029
120	286.0283	-85.6198
130	286.5129	-85.6078
140	288.2039	-85.6804
150	288.5206	-85.7844
160	287.422	-85.4924
170	286.9369	-85.4936
180	286.9784	-85.5307
190	287.3188	-85.4064
200	289.4095	-85.1056
210	304.4053	-84.6512
220	321.2085	-82.3194
230	324.1541	-81.9173
240	324.0816	-81.9875
250	324.059	-81.984
260	323.9039	-81.8167
270	324.3807	-81.8843
280	325.6525	-81.8697
290	332.798	-84.2165
300	356.7431	-85.2814
310	358.8747	-85.4788
320	360.039	-85.2364
330	359.5573	-85.2938
340	357.9763	-85.385
350	355.4855	-85.7272
360	353.6458	-86.0155
370	353.8334	-86.3007
380	356.3979	-86.6678
390	355.0227	-86.5094
400	356.9462	-86.6057
410	357.549	-86.5905
420	359.0169	-86.7981
430	358.8135	-86.8125
440	355.2989	-86.7526
450	354.3537	-86.6248
460	355.2875	-86.7167
470	355.1427	-86.9114
480	354.1799	-87.0844
490	349.7465	-87.0791
500	349.445	-87.1537
510	348.846	-87.2285
520	348.2051	-87.1965
530	351.2186	-87.0345
540	349.2463	-87.1691
550	351.0783	-87.1514
560	349.4722	-87.0128
570	351.5101	-87.1319
580	355.5092	-87.1284
590	353.0366	-87.214
600	352.8234	-86.8486
610	352.8449	-86.8879
620	353.0474	-86.9911
630	352.7049	-86.8088
