200n,10/11/21,10:47:02 AM,0,="",800E,XR1,2000.0,0,32,1,1,-594.3311 ,-591.0673 ,-592.5705 ,-594.0727 ,-592.2139 ,-1009.142 ,-3139.267 ,-4038.888 ,-4850.078 ,-5564.908 ,-6186.324 ,-6721.476 ,-7174.436 ,-7593.265 ,-7932.972 ,-8240.393 ,-8509.449 ,-8749.667 ,-8950.661 ,-8995.006 ,-8299.421 ,-7904.725 ,-7760.097 ,-7518.37 ,-7212.949 ,-6858.702 ,-6461.536 ,-5996.684 ,-5481.905 ,-4897.602 ,-4274.633 ,-3615.715 ,-2952.178 ,-2314.491 ,-1726.619 ,-1217.51 ,-807.7679 ,-506.4745 ,-304.2435 ,-176.1846 ,-101.5633 ,-36.0988 ,-7.22596 ,-1.82984 ,-1.39117 ,-1.14155 ,0.10867 ,-1.34418 ,-6.82494 ,-389.777 ,-1431.115 ,-2154.15 ,-2977.17 ,-3949.049 ,-4870.173 ,-5757.941 ,-6556.321 ,-7155.811 ,-7483.581 ,-7414.522 ,-6895.624 ,-5935.27 ,-4669.187 ,-3293.941 ,-2033.546 ,-1033.175 ,-339.4659 ,91.98797 ,333.6618 ,460.0894 ,551.8195 ,586.2006 ,592.4762 ,594.1024 ,594.588 ,594.3446 ,594.0559 ,595.5195 
200n,10/11/21,10:47:02 AM,0,="",800E,YR1,2000.0,0,32,1,1,1645.669 ,1651.019 ,1654.32 ,1646.973 ,1651.336 ,1627.711 ,1407.631 ,1158.504 ,890.5662 ,625.0735 ,374.6948 ,98.49932 ,-160.6888 ,-396.4514 ,-645.6324 ,-884.2023 ,-1113.451 ,-1342.727 ,-1547.818 ,-1744.716 ,-1820.279 ,-1854.619 ,-1851.314 ,-1843.426 ,-1838.054 ,-1843.824 ,-1829.67 ,-1787.878 ,-1744.208 ,-1662.391 ,-1562.252 ,-1416.914 ,-1238.696 ,-1027.398 ,-803.2928 ,-598.7555 ,-418.9722 ,-287.3469 ,-191.997 ,-129.1392 ,-87.25327 ,-46.23491 ,-19.73037 ,-6.22414 ,-5.74837 ,-2.56412 ,-3.1879 ,-0.43085 ,2.23833 ,-47.61904 ,-76.95346 ,-155.1837 ,-238.2151 ,-403.4674 ,-596.3176 ,-840.5669 ,-1165.161 ,-1544.391 ,-1962.857 ,-2377.696 ,-2743.525 ,-2988.969 ,-3060.79 ,-2938.663 ,-2672.737 ,-2366.033 ,-2106.422 ,-1927.286 ,-1821.453 ,-1758.824 ,-1703.764 ,-1676.422 ,-1666.243 ,-1659.473 ,-1657.212 ,-1658.277 ,-1657.424 ,-1654.106 
200n,10/11/21,10:47:02 AM,0,="",800E,ZR1,2000.0,0,32,1,1,-56047.95 ,-56042.06 ,-56046.39 ,-56041.74 ,-56039.45 ,-55362.88 ,-50455.7 ,-46234.04 ,-42029.87 ,-37789.66 ,-33559.39 ,-29371.19 ,-25236.28 ,-21151.14 ,-17140.96 ,-13195.2 ,-9304.089 ,-5470.711 ,-1693.775 ,1827.923 ,3002.207 ,3095.805 ,3132.853 ,3160.515 ,3197.41 ,3218.633 ,3226.157 ,3190.981 ,3158.441 ,3074.507 ,2949.291 ,2781.819 ,2550.608 ,2272.775 ,1947.96 ,1594.25 ,1237.424 ,907.8352 ,634.7017 ,426.566 ,278.3797 ,126.3446 ,50.14479 ,24.75317 ,14.59458 ,12.61665 ,7.87563 ,4.98902 ,2.08026 ,609.9888 ,2358.751 ,3773.291 ,5753.043 ,8609.661 ,12062.81 ,16323.03 ,21398.23 ,27114.74 ,33348.78 ,39659.89 ,45538 ,50459.58 ,54022.12 ,56163.04 ,57136.65 ,57335.78 ,57170.92 ,56895.8 ,56639.82 ,56450.62 ,56255.59 ,56139.06 ,56093.73 ,56073.59 ,56061.32 ,56053.01 ,56043.68 ,56044.82 
200n,10/11/21,10:48:00 AM,0,="",800E,XR2,2000.0,0,32,3,2,-601.0481 ,-597.8877 ,-594.4334 ,-596.5735 ,-590.6245 ,-1009.992 ,-3138.527 ,-4041.126 ,-4858.296 ,-5572.741 ,-6186.436 ,-6725.042 ,-7188.358 ,-7594.677 ,-7942.568 ,-8256.046 ,-8513.923 ,-8749.272 ,-8952.46 ,-9003.236 ,-8300.521 ,-7919.149 ,-7776.718 ,-7520.243 ,-7215.253 ,-6862.485 ,-6463.451 ,-6001.364 ,-5476.773 ,-4907.437 ,-4276.395 ,-3621.013 ,-2956.263 ,-2318.952 ,-1731.63 ,-1217.992 ,-809.9391 ,-511.4159 ,-306.544 ,-177.3481 ,-102.6839 ,-38.11344 ,-9.03463 ,-1.18145 ,-2.09193 ,-3.33527 ,-2.30353 ,1.27042 ,4.81105 ,-383.601 ,-1417.663 ,-2160.321 ,-2971.28 ,-3955.154 ,-4867.551 ,-5756.771 ,-6552.664 ,-7157.133 ,-7474.704 ,-7414.485 ,-6896.448 ,-5938.374 ,-4666.715 ,-3292.783 ,-2030.565 ,-1033.371 ,-337.0982 ,91.76141 ,333.8336 ,458.2757 ,550.0375 ,584.6903 ,592.2061 ,593.5403 ,593.9143 ,593.1945 ,594.9196 ,597.488 
200n,10/11/21,10:48:00 AM,0,="",800E,YR2,2000.0,0,32,3,2,1661.45 ,1652.952 ,1654.157 ,1664.222 ,1667.294 ,1631.955 ,1407.756 ,1155.283 ,888.8138 ,632.0418 ,364.6005 ,109.1448 ,-160.1143 ,-400.578 ,-652.244 ,-885.8322 ,-1113.621 ,-1331.609 ,-1537.971 ,-1746.727 ,-1830.235 ,-1833.933 ,-1856.904 ,-1840.332 ,-1848.794 ,-1839.982 ,-1811.984 ,-1786.825 ,-1737.224 ,-1661.477 ,-1558.7 ,-1410.933 ,-1224.901 ,-1025.079 ,-801.6904 ,-591.7109 ,-417.5581 ,-281.0303 ,-184.5885 ,-119.7479 ,-81.95239 ,-41.86883 ,-14.38331 ,-2.28314 ,-1.72547 ,-2.14198 ,-0.67815 ,0.33007 ,6.94603 ,-29.55532 ,-74.66345 ,-136.6052 ,-228.5332 ,-372.1393 ,-571.9919 ,-833.141 ,-1163.794 ,-1537.781 ,-1953.325 ,-2378.405 ,-2743.335 ,-2984.547 ,-3052.974 ,-2928.626 ,-2665.334 ,-2363.962 ,-2107.624 ,-1929.597 ,-1823.843 ,-1763.622 ,-1711.279 ,-1677.112 ,-1664.13 ,-1658.728 ,-1658.5 ,-1659.468 ,-1656.826 ,-1658.693 
200n,10/11/21,10:48:00 AM,0,="",800E,ZR2,2000.0,0,32,3,2,-56058.86 ,-56067.41 ,-56059.03 ,-56057.49 ,-56067.65 ,-55378.42 ,-50480.03 ,-46254.7 ,-42035.69 ,-37795.69 ,-33566.94 ,-29380.69 ,-25234.97 ,-21155.54 ,-17141.6 ,-13197.99 ,-9300.693 ,-5457.439 ,-1685.696 ,1829.06 ,3015.117 ,3090.962 ,3124.235 ,3152.258 ,3193.686 ,3220.156 ,3220.312 ,3207.874 ,3161.451 ,3081.029 ,2958.404 ,2786.767 ,2562.405 ,2276.794 ,1953.374 ,1600.484 ,1239.475 ,908.7162 ,634.854 ,426.3299 ,280.1862 ,131.7323 ,53.12789 ,28.32425 ,15.10759 ,8.72665 ,7.90558 ,5.83981 ,10.60751 ,616.4535 ,2351.552 ,3798.134 ,5767.826 ,8631.46 ,12076.25 ,16316.95 ,21398.38 ,27124.77 ,33356.78 ,39669.24 ,45535.63 ,50463.16 ,54027.79 ,56179.72 ,57145.42 ,57353.78 ,57187.75 ,56905.77 ,56653.07 ,56463.32 ,56266.5 ,56151.92 ,56109.3 ,56089.01 ,56073.07 ,56061.81 ,56056.72 ,56054.24 
200n,10/11/21,10:48:14 AM,0,="",800E,XR3,2000.0,0,32,3,3,-598.9669 ,-601.2052 ,-600.8095 ,-596.8851 ,-594.8965 ,-1004.447 ,-3137.212 ,-4030.604 ,-4853.031 ,-5573.117 ,-6182.916 ,-6719.636 ,-7186.183 ,-7590.113 ,-7938.811 ,-8240.812 ,-8511.696 ,-8741.408 ,-8953.369 ,-9005.428 ,-8303.802 ,-7933.401 ,-7766.149 ,-7527.814 ,-7229.434 ,-6867.152 ,-6470.108 ,-5998.658 ,-5482.7 ,-4900.288 ,-4271.315 ,-3616.424 ,-2954.075 ,-2314.646 ,-1723.776 ,-1214.393 ,-807.4415 ,-507.6312 ,-303.6958 ,-175.8654 ,-98.90385 ,-35.56072 ,-8.45347 ,-0.08003 ,1.26724 ,-0.37678 ,-1.35515 ,0.0332 ,5.51882 ,-382.2696 ,-1422.319 ,-2142.996 ,-2957.801 ,-3939.9 ,-4865.067 ,-5757.207 ,-6552.727 ,-7152.186 ,-7477.05 ,-7412.015 ,-6894.747 ,-5938.681 ,-4666.177 ,-3291.965 ,-2032.769 ,-1033.03 ,-336.3989 ,93.71534 ,332.9787 ,461.0591 ,552.7881 ,587.071 ,592.2797 ,594.5573 ,594.1183 ,593.8576 ,592.5115 ,591.3493 
200n,10/11/21,10:48:14 AM,0,="",800E,YR3,2000.0,0,32,3,3,1654.416 ,1658.198 ,1655.082 ,1659.598 ,1656.942 ,1628.401 ,1410.378 ,1152.58 ,895.9969 ,632.1264 ,379.7683 ,111.8817 ,-158.2149 ,-405.3323 ,-640.83 ,-880.1249 ,-1117.525 ,-1325.836 ,-1542.001 ,-1743.048 ,-1832.661 ,-1854.467 ,-1852.145 ,-1839.501 ,-1841.58 ,-1827.518 ,-1805.509 ,-1772.626 ,-1741.013 ,-1656.187 ,-1555.28 ,-1412.039 ,-1227.655 ,-1025.247 ,-806.4235 ,-594.1831 ,-417.748 ,-278.2981 ,-182.4449 ,-122.8618 ,-83.27357 ,-43.11342 ,-17.99341 ,-9.77651 ,-2.66656 ,-2.85722 ,-3.74082 ,-3.74139 ,-14.74473 ,-35.5671 ,-113.7811 ,-156.772 ,-249.5469 ,-388.8002 ,-584.8494 ,-838.751 ,-1167.856 ,-1541.252 ,-1957.83 ,-2391.318 ,-2748.315 ,-2991.404 ,-3060.167 ,-2930.956 ,-2670.42 ,-2368.374 ,-2109.536 ,-1931.574 ,-1822.826 ,-1761.752 ,-1703.893 ,-1677.743 ,-1666.605 ,-1660.074 ,-1657.628 ,-1659.003 ,-1655.947 ,-1658.318 
200n,10/11/21,10:48:14 AM,0,="",800E,ZR3,2000.0,0,32,3,3,-56032.38 ,-56031.55 ,-56041.1 ,-56035.49 ,-56044.71 ,-55349.77 ,-50442.67 ,-46230.82 ,-42018.08 ,-37777.35 ,-33550.04 ,-29366.45 ,-25225.72 ,-21148.26 ,-17125.21 ,-13188.74 ,-9302.577 ,-5456.73 ,-1685.123 ,1830.18 ,3023.625 ,3088.991 ,3125.342 ,3176.722 ,3201.908 ,3210.169 ,3225.268 ,3212.775 ,3166.145 ,3083.367 ,2963.39 ,2788.12 ,2559.892 ,2279.905 ,1957.999 ,1602.647 ,1242.012 ,911.487 ,636.7646 ,429.021 ,280.0905 ,129.9146 ,51.85776 ,28.21415 ,19.05176 ,12.48819 ,8.16613 ,6.27577 ,7.00429 ,614.6012 ,2360.793 ,3789.521 ,5760.563 ,8619.6 ,12074.63 ,16316.43 ,21391.35 ,27108.9 ,33342.38 ,39650.99 ,45527.7 ,50458.07 ,54028.85 ,56165.09 ,57143.39 ,57338.88 ,57177.86 ,56900.31 ,56643.45 ,56456.63 ,56259.23 ,56143.06 ,56097.58 ,56077.28 ,56062.22 ,56052.77 ,56045.8 ,56042.62 
200n,10/11/21,10:48:27 AM,0,="",800E,XR4,2000.0,0,32,3,4,-590.8191 ,-595.8698 ,-596.6622 ,-596.6424 ,-592.5832 ,-1006.591 ,-3143.3 ,-4028.065 ,-4856.849 ,-5571.091 ,-6180.933 ,-6723.416 ,-7186.931 ,-7597.855 ,-7938.835 ,-8245.474 ,-8519.847 ,-8749.93 ,-8946.831 ,-9006.285 ,-8289.187 ,-7936.192 ,-7754.636 ,-7519.905 ,-7216.282 ,-6864.961 ,-6458.905 ,-6006.218 ,-5478.083 ,-4897.422 ,-4269.94 ,-3618.305 ,-2955.634 ,-2312.538 ,-1725.6 ,-1216.763 ,-806.5599 ,-507.0217 ,-305.428 ,-178.5484 ,-102.5544 ,-38.26452 ,-9.6786 ,-1.87258 ,-0.15856 ,-0.02665 ,-2.49579 ,0.01457 ,1.39073 ,-385.3773 ,-1410.464 ,-2156.46 ,-2971.422 ,-3954.594 ,-4868.177 ,-5754.468 ,-6544.505 ,-7157.142 ,-7479.935 ,-7412.233 ,-6893.098 ,-5938.162 ,-4664.81 ,-3293.149 ,-2031.292 ,-1030.145 ,-338.0076 ,93.50532 ,335.9309 ,461.5731 ,552.7163 ,585.6063 ,591.4198 ,594.7007 ,597.7594 ,593.6098 ,593.3045 ,594.1092 
