h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
8 33 32 13 8897 
8 33 46 12 8958 
8 34 2 13 8958 
8 34 16 12 8958 
8 34 32 13 8958 
8 34 46 12 8958 
8 35 2 13 8958 
8 35 16 12 8897 
8 35 32 13 8958 
8 35 46 12 8958 
8 36 2 13 8958 
8 36 16 12 8958 
8 36 32 13 8958 
8 36 46 12 8958 
8 37 2 13 8958 
8 37 16 12 8897 
8 37 32 13 8958 
8 37 46 12 8958 
8 38 2 13 8958 
8 38 16 12 8958 
8 38 32 13 8958 
8 38 46 12 8897 
8 39 2 13 8958 
8 39 16 12 8958 
8 39 32 13 8958 
8 39 46 12 8958 
8 40 2 13 8958 
8 40 16 12 8897 
8 40 32 13 8958 
8 40 46 12 8958 
8 41 2 13 8958 
8 41 16 12 8958 
8 41 32 13 8958 
8 41 46 12 8897 
8 42 2 13 8958 
8 42 16 12 8897 
8 42 32 13 8958 
8 42 46 12 8958 
8 43 2 13 8897 
8 43 16 12 8897 
8 43 32 13 8958 
8 43 46 12 8958 
8 44 2 13 8958 
8 44 17 13 8958 
8 44 32 12 8958 
8 44 46 12 8958 
8 45 2 13 8958 
8 45 16 12 8958 
8 45 32 13 8958 
8 45 46 12 8958 
8 46 2 13 8897 
8 46 16 12 8958 
8 46 32 13 8897 
8 46 46 12 8958 
8 47 2 13 8958 
8 49 33 13 8958 
8 49 47 12 8897 
8 50 3 13 8958 
8 50 17 12 8958 
8 50 47 12 8958 
8 51 3 13 8958 
8 51 17 12 8958 
8 51 33 13 8958 
8 51 47 12 8958 
8 52 3 13 8897 
8 52 17 12 8958 
8 52 33 13 8958 
8 52 47 12 8958 
8 53 3 13 8897 
8 53 17 12 8897 
8 53 33 13 8958 
8 53 47 12 8958 
8 54 3 13 8958 
8 54 17 12 8958 
8 54 33 13 8958 
8 54 47 12 8958 
8 55 3 13 8897 
8 55 17 12 8958 
8 55 33 13 8897 
8 55 47 12 8897 
8 56 3 13 8958 
8 56 17 12 8958 
8 56 33 13 8958 
8 56 47 12 8958 
8 57 3 13 8897 
8 57 17 12 8958 
8 57 33 13 8958 
8 57 47 12 8897 
8 58 3 13 8958 
8 58 17 12 8958 
8 58 33 13 8958 
8 59 3 13 8958 
8 59 17 12 8958 
8 59 33 13 8897 
8 59 47 12 8958 
9 0 3 13 8958 
9 0 17 12 8897 
9 0 33 13 8958 
9 0 47 12 8897 
9 1 3 13 8958 
9 1 17 12 8897 
9 1 33 13 8897 
9 1 47 12 8958 
9 2 3 13 8958 
9 2 17 12 8897 
9 2 33 13 8958 
9 2 47 12 8958 
9 3 3 13 8958 
9 3 17 12 8958 
9 3 33 13 8958 
9 3 47 12 8897 
9 4 3 13 8958 
9 6 34 12 8897 
9 6 50 13 8958 
9 7 4 12 8958 
9 7 20 13 8897 
9 7 35 13 8958 
9 7 50 12 8958 
9 8 4 12 8897 
9 8 20 13 8958 
9 8 34 12 8958 
9 8 50 13 8958 
9 9 4 12 8958 
