h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
8 45 37 12 8993 
8 45 53 13 8993 
8 46 7 12 8993 
8 46 23 13 8993 
8 46 37 12 8993 
8 46 53 13 8993 
8 47 7 12 8993 
8 47 23 13 8993 
8 47 37 12 8993 
8 47 53 13 8993 
8 48 7 12 8993 
8 48 23 13 8993 
8 48 37 12 8993 
8 48 53 13 8993 
8 49 7 12 8993 
8 49 23 13 8993 
8 49 37 12 8993 
8 49 53 13 8993 
8 50 7 12 9053 
8 50 23 13 8993 
8 50 37 12 8993 
8 50 53 13 8993 
8 51 7 12 8993 
8 51 23 13 8993 
8 51 37 12 8993 
8 51 53 13 8993 
8 52 7 12 8993 
8 52 23 13 8993 
8 52 37 12 8993 
8 52 53 13 8993 
8 53 7 12 8993 
8 53 23 13 8993 
8 53 37 12 8993 
8 53 53 13 8993 
8 54 7 12 8993 
8 54 23 13 8993 
8 54 37 12 8993 
8 54 53 13 8993 
8 55 7 12 8993 
8 55 23 13 8993 
8 55 37 12 8993 
8 55 53 13 8993 
8 56 7 12 8993 
8 56 23 13 8993 
8 56 37 12 8993 
8 56 53 13 8993 
8 59 24 13 8993 
8 59 39 12 8993 
8 59 54 13 8993 
9 0 9 12 8993 
9 0 24 13 8993 
9 0 39 12 8993 
9 0 54 13 8993 
9 1 9 12 8993 
9 1 24 13 8993 
9 1 39 12 8993 
9 1 54 13 8993 
9 2 9 12 8993 
9 2 24 13 8993 
9 2 39 12 8993 
9 2 54 13 8993 
9 3 9 12 8993 
9 3 24 13 8993 
9 3 39 12 8993 
9 3 54 13 8993 
9 4 9 12 8993 
9 4 24 13 8993 
9 4 39 12 8993 
9 4 54 13 8993 
9 5 9 12 8993 
9 5 24 13 8993 
9 5 39 12 8993 
9 5 54 13 8993 
9 6 9 12 8993 
9 6 24 13 8993 
9 6 39 12 8993 
9 6 54 13 8993 
9 7 9 12 8993 
9 7 24 13 8993 
9 7 39 12 8993 
9 7 54 13 8993 
9 8 9 12 8993 
9 8 24 13 8993 
9 8 39 12 8993 
9 8 54 13 8993 
9 9 9 12 8993 
9 9 24 13 8993 
9 9 39 12 8993 
9 9 54 13 8993 
9 10 9 12 8993 
9 10 24 13 8993 
9 10 39 12 8993 
9 10 54 13 8993 
9 11 9 12 8993 
9 11 24 13 8993 
9 11 39 12 8993 
9 11 54 13 8993 
9 12 9 12 8993 
9 12 24 13 8993 
9 12 39 12 8993 
9 12 54 13 8993 
9 13 9 12 8993 
9 13 24 13 8993 
9 13 39 12 8993 
9 13 54 13 8993 
9 16 24 13 8993 
9 16 39 12 8993 
9 16 54 13 8993 
9 17 9 12 8993 
9 17 24 13 8993 
9 17 39 12 8993 
9 17 54 13 8993 
9 18 9 12 8993 
9 18 24 13 8993 
9 18 39 12 8993 
9 18 54 13 8993 
9 19 9 12 8993 
9 19 24 13 8993 
9 19 39 12 8993 
9 19 54 13 8993 
9 20 9 12 8993 
9 20 24 13 8993 
9 20 39 12 8993 
9 20 54 13 8993 
9 21 9 12 8993 
9 21 24 13 8993 
9 21 39 12 8993 
9 21 54 13 8993 
9 22 9 12 8993 
9 22 24 13 8993 
9 22 39 12 8993 
9 22 54 13 8993 
9 23 9 12 8993 
9 23 24 13 8993 
9 23 39 12 8993 
9 23 54 13 8993 
9 24 9 12 8993 
9 24 24 13 8993 
9 24 39 12 8993 
9 24 54 13 8993 
9 25 9 12 8993 
9 25 24 13 8993 
9 25 39 12 8993 
9 25 54 13 8993 
9 26 9 12 8993 
9 26 24 13 8993 
9 26 39 12 8993 
9 26 54 13 8993 
9 27 9 12 8993 
9 27 24 13 8993 
9 27 39 12 8993 
9 27 54 13 8993 
9 28 9 12 8993 
9 28 24 13 8993 
9 28 39 12 8993 
9 28 54 13 8993 
9 29 9 12 8993 
9 29 24 13 8993 
9 29 39 12 8993 
9 29 54 13 8993 
9 30 9 12 8993 
9 30 24 13 8993 
9 30 39 12 8993 
9 30 54 13 8993 
9 33 24 13 8993 
9 33 39 12 8993 
9 33 54 13 8993 
9 34 9 12 8993 
9 34 24 13 8993 
9 34 39 12 8993 
9 34 54 13 8993 
9 35 9 12 8993 
9 35 24 13 8993 
9 35 39 12 8993 
9 35 54 13 8993 
9 36 9 12 8993 
9 36 24 13 8993 
9 36 39 12 8993 
9 36 54 13 8993 
9 37 9 12 8993 
9 37 24 13 8993 
9 37 39 12 8993 
9 37 54 13 8993 
9 38 9 12 8993 
9 38 24 13 8993 
9 38 39 12 8993 
9 38 54 13 8993 
9 39 9 12 8993 
9 39 24 13 8993 
9 39 39 12 8993 
9 39 54 13 8993 
9 40 9 12 8993 
9 40 24 13 8993 
9 40 39 12 8993 
9 40 54 13 8993 
9 41 9 12 8993 
9 41 24 13 8993 
9 41 39 12 8993 
9 41 54 13 8993 
9 42 9 12 8993 
9 42 24 13 8993 
9 42 39 12 8993 
9 42 54 13 8993 
9 43 9 12 8993 
9 43 24 13 8993 
9 43 39 12 8993 
9 43 54 13 8993 
9 44 9 12 8993 
9 44 24 13 8993 
9 44 39 12 8993 
9 44 54 13 8993 
9 45 9 12 8993 
9 45 24 13 8993 
9 45 39 12 8993 
9 45 54 13 8993 
9 46 9 12 8993 
9 46 24 13 8993 
9 46 39 12 8993 
9 46 54 13 8993 
9 47 9 12 8993 
9 47 24 13 8993 
9 47 39 12 8993 
9 47 54 13 8993 
9 50 25 13 8993 
9 50 40 12 8993 
9 50 55 13 8993 
9 51 10 12 8993 
9 51 25 13 8993 
9 51 40 12 8993 
9 51 55 13 8993 
9 52 10 12 8993 
9 52 25 13 8993 
9 52 40 12 8993 
9 52 55 13 8993 
9 53 10 12 8993 
9 53 25 13 8993 
9 53 40 12 8993 
9 53 55 13 8993 
9 54 10 12 8993 
9 54 25 13 8993 
9 54 40 12 8993 
9 54 55 13 8993 
9 55 10 12 8993 
