h
h

<CR>Bad command!

/> 
h
h
<CR>
Available commands
------------------
h or ?  ---------------> Alias for Help 
ls      ---------------> List of Files 
read XXXX -------------> read the daily file XXXX  (month/day) 
read_ramp XXXXXXXX ----> read the text file XXXXXXXX  (month/day/Hours/Minutes) 

/> 
ls
ls
<CR>
         TIME          Size       File name 
6 48 9 12 9018 
6 48 24 13 9018 
6 48 39 12 8958 
6 48 54 13 8958 
6 49 9 12 9018 
6 49 24 13 9018 
6 49 39 12 8958 
6 49 54 13 9018 
6 50 9 12 8958 
6 50 24 13 9018 
6 50 39 12 9018 
6 50 54 13 8958 
6 51 9 12 9018 
6 51 24 13 9018 
6 51 39 12 9018 
6 51 54 13 8958 
6 52 9 12 8958 
6 52 24 13 8958 
6 52 39 12 8958 
6 52 54 13 8958 
6 53 9 12 8958 
6 53 24 13 8958 
6 53 39 12 8958 
6 53 54 13 8958 
6 54 9 12 9018 
6 54 24 13 8958 
6 54 39 12 9018 
6 54 54 13 9018 
6 55 9 12 9018 
6 55 24 13 9018 
6 55 39 12 9018 
6 55 54 13 9018 
6 56 9 12 9018 
6 56 24 13 8958 
6 56 39 12 9018 
6 56 54 13 9018 
6 57 9 12 9018 
6 57 24 13 8958 
6 57 39 12 9018 
6 57 54 13 8958 
7 0 26 13 9018 
7 0 40 12 9018 
7 0 56 13 8958 
7 1 10 12 9018 
7 1 26 13 8958 
7 1 40 12 9018 
7 1 56 13 9018 
7 2 10 12 9018 
7 2 26 13 8958 
7 2 40 12 8958 
7 2 56 13 8958 
7 3 10 12 8958 
7 3 26 13 8958 
7 3 40 12 8958 
7 3 56 13 9018 
7 4 10 12 9018 
7 4 26 13 8958 
7 4 40 12 8958 
7 4 56 13 8958 
7 5 10 12 8958 
7 5 26 13 8958 
7 5 40 12 8958 
7 5 56 13 9018 
7 6 10 12 8958 
7 6 26 13 8958 
7 6 40 12 9018 
7 6 56 13 9018 
7 7 10 12 8958 
7 7 26 13 9018 
7 7 40 12 8958 
7 7 55 13 8958 
7 8 10 12 9018 
7 8 26 13 8958 
7 8 40 12 9018 
7 8 56 13 8958 
7 9 10 12 8958 
7 9 26 13 8958 
7 9 40 12 9018 
7 9 56 13 8958 
7 10 10 12 9018 
7 10 25 13 9018 
7 10 40 12 8958 
7 10 56 13 9018 
7 11 10 12 9018 
7 11 26 13 8958 
7 11 40 12 9018 
7 11 56 13 8958 
7 12 10 12 8958 
7 12 26 13 8958 
7 12 40 12 8958 
7 12 56 13 8958 
7 13 10 12 8958 
7 13 26 13 8958 
7 13 40 12 9018 
7 13 56 13 8958 
7 14 10 12 9018 
7 14 26 13 8958 
7 14 40 12 8958 
7 14 56 13 8958 
7 17 26 13 9018 
7 17 40 12 8958 
7 17 56 13 8958 
7 18 10 12 9018 
7 18 26 13 9018 
7 18 40 12 8958 
7 18 56 13 9018 
7 19 10 12 9018 
7 19 26 13 9018 
7 19 40 12 9018 
7 19 56 13 9018 
7 20 10 12 8958 
7 20 26 13 8958 
7 20 40 12 8958 
7 20 56 13 8958 
7 21 10 12 9018 
7 21 26 13 9018 
7 21 40 12 9018 
7 21 56 13 9018 
7 22 10 12 9018 
7 22 26 13 8958 
7 22 40 12 9018 
7 22 56 13 8958 
7 23 10 12 9018 
7 23 26 13 8958 
7 23 40 12 8897 
7 23 56 13 8958 
7 24 10 12 9018 
7 24 26 13 9018 
7 24 40 12 9018 
7 24 56 13 8958 
7 25 10 12 8958 
7 25 26 13 8958 
7 25 40 12 8958 
7 25 56 13 9018 
7 26 10 12 8958 
7 26 26 13 8958 
7 26 40 12 8958 
7 26 56 13 8958 
7 27 10 12 8958 
7 27 26 13 9018 
7 27 40 12 8958 
7 27 56 13 8958 
7 28 10 12 9018 
7 28 26 13 8958 
7 28 40 12 9018 
7 28 56 13 9018 
7 29 10 12 8958 
7 29 26 13 8958 
7 29 40 12 8958 
7 29 56 13 9018 
7 30 10 12 8958 
7 30 26 13 8958 
7 30 40 12 8958 
7 30 56 13 9018 
7 31 10 12 9018 
7 31 26 13 8958 
7 31 40 12 9018 
7 31 56 13 8958 
7 34 26 13 8958 
7 34 40 12 9018 
7 34 56 13 9018 
7 35 10 12 9018 
7 35 26 13 9018 
7 35 40 12 8958 
7 35 56 13 8958 
7 36 10 12 8958 
7 36 26 13 9018 
7 36 40 12 8958 
7 36 56 13 9018 
7 37 10 12 8958 
7 37 26 13 8958 
7 37 40 12 8958 
7 37 56 13 8958 
7 38 10 12 9018 
7 38 26 13 9018 
7 38 40 12 8897 
7 38 56 13 8958 
7 39 10 12 8958 
7 39 26 13 8958 
7 39 40 12 8958 
7 39 56 13 8958 
7 40 10 12 8958 
7 40 26 13 8958 
7 40 40 12 8958 
7 40 56 13 8958 
7 41 10 12 8958 
7 41 26 13 8958 
7 41 40 12 8958 
7 41 56 13 8958 
7 42 10 12 8958 
7 42 26 13 8958 
7 42 40 12 8958 
7 42 56 13 8897 
7 43 10 12 8958 
7 43 25 13 8958 
7 43 40 12 9018 
7 43 56 13 9018 
7 44 10 12 8958 
7 44 26 13 9018 
7 44 40 12 8958 
7 44 56 13 9018 
7 45 10 12 8958 
7 45 26 13 8958 
7 45 40 12 8958 
7 45 56 13 8958 
7 46 10 12 9018 
7 46 26 13 9018 
7 46 40 12 9018 
7 46 56 13 9018 
7 47 10 12 8958 
7 47 26 13 8958 
7 47 40 12 9018 
7 47 56 13 8958 
7 48 10 12 8958 
7 48 26 13 8958 
7 48 40 12 8958 
7 48 56 13 9018 
7 51 27 13 8958 
7 51 41 12 9018 
7 51 57 13 8958 
7 52 11 12 8958 
7 52 27 13 8958 
7 52 41 12 8958 
7 52 57 13 8958 
7 53 11 12 8958 
7 53 27 13 9018 
7 53 41 12 8958 
7 53 57 13 8958 
7 54 11 12 9018 
7 54 27 13 8958 
7 54 41 12 8958 
7 54 57 13 8958 
7 55 11 12 9018 
7 55 27 13 9018 
7 55 41 12 8958 
7 55 57 13 9018 
7 56 11 12 9018 
7 56 27 13 8958 
7 56 41 12 8958 
7 56 57 13 8958 
7 57 11 12 8958 
7 57 27 13 8958 
7 57 41 12 8958 
7 57 57 13 9018 
7 58 11 12 8958 
7 58 27 13 8958 
7 58 41 12 9018 
7 58 57 13 8958 
7 59 11 12 8958 
7 59 27 13 8958 
7 59 41 12 8958 
7 59 57 13 8958 
8 0 11 12 8958 
8 0 27 13 8958 
8 0 41 12 8958 
8 0 57 13 8958 
8 1 11 12 8958 
8 1 27 13 9018 
8 1 41 12 8958 
8 1 57 13 8958 
8 2 11 12 8958 
8 2 27 13 8958 
8 2 41 12 8958 
8 2 57 13 8958 
8 3 11 12 8958 
8 3 27 13 8958 
8 3 41 12 8958 
