
/> 
read_ramp 06021122
<CR>Time:2021/06/02 15:23Ramp data first polarity: 
296 295 296 296 296 295 296 296 295 296 296 295 295 295 296 296 296 297 296 295 295 296 296 296 295 296 295 295 296 295 296 296 296 296 295 296 295 295 296 296 296 296 295 295 295 295 296 295 297 296 295 296 296 296 296 295 296 295 295 296 295 296 296 306 302 299 301 301 302 304 307 308 310 311 312 314 315 316 318 320 320 321 322 324 325 327 328 330 330 331 332 334 335 336 338 339 340 342 343 344 345 345 348 349 350 351 352 354 355 356 358 359 359 361 362 364 365 367 368 368 369 371 372 374 374 375 377 378 379 380 382 383 384 386 386 389 389 390 391 392 394 395 396 397 398 400 401 402 404 404 405 407 407 409 411 412 413 414 415 416 418 418 420 421 423 423 424 426 426 428 429 431 432 433 434 434 436 437 439 440 441 442 443 445 445 446 449 449 450 451 452 453 454 456 457 458 458 459 461 463 463 465 466 466 468 468 470 471 473 474 474 475 477 477 479 480 481 484 484 484 486 486 488 489 491 491 492 493 494 495 497 498 498 501 501 501 503 504 504 506 507 508 509 509 509 511 511 512 512 514 5[Warning: Maximal number of bytes per line exceeded! Check the EOL (end-of-line) settings or increase the limit in the advanced terminal settings.]
read 0602
<CR>Time:2021/06/02 15:23
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 3 22 224 12998 
10 3 37 223 12998 
10 3 52 224 12998 
10 4 7 224 12998 
10 4 22 224 12998 
10 4 37 224 12998 
10 4 52 224 12998 
10 5 7 224 12998 
10 5 22 224 12998 
10 5 37 224 12998 
10 5 52 224 12998 
10 6 7 224 12998 
10 6 22 224 12998 
10 6 59 224 12998 
10 7 14 224 12998 
10 7 29 224 12998 
10 7 44 224 12998 
10 7 59 224 12998 
10 8 14 224 12998 
10 8 29 224 12998 
10 8 44 224 12998 
10 8 59 224 12998 
10 9 14 224 12998 
10 9 29 224 12998 
10 9 44 224 12998 
10 9 59 224 12998 
10 10 14 224 12998 
10 10 29 224 12998 
10 10 44 224 12998 
10 10 59 224 12998 
10 11 14 224 12998 
10 11 29 224 12998 
10 11 44 224 12998 
10 11 59 224 12998 
10 12 14 224 12998 
10 12 29 224 12998 
10 12 44 224 12998 
10 12 59 224 12998 
10 13 14 224 12998 
10 13 29 224 12998 
10 13 44 224 12998 
10 13 59 224 12998 
10 14 14 224 12998 
10 14 29 224 12998 
10 14 44 224 12998 
10 14 59 224 12998 
10 15 14 224 12998 
10 15 29 224 12998 
10 15 44 224 12998 
10 15 59 224 12998 
10 16 14 224 12998 
10 16 29 224 12998 
10 16 44 224 12998 
10 16 59 224 12998 
10 17 14 224 12998 
10 17 29 224 12998 
10 17 44 224 12998 
10 17 59 224 12998 
10 18 14 224 12998 
10 18 29 224 12998 
10 18 44 224 12998 
10 18 59 224 12998 
10 19 14 224 12998 
10 19 29 224 12998 
10 19 44 224 12998 
10 19 59 224 12998 
10 20 14 224 12998 
10 20 29 224 12998 
10 20 44 224 12998 
10 20 59 224 12998 
10 21 14 224 12998 
10 21 29 224 12998 
10 22 6 224 12998 
10 22 21 224 12998 
10 22 36 224 12998 
10 22 51 224 12998 
10 23 6 223 12998 
10 23 21 224 12998 
10 23 36 224 12998 
10 23 51 224 12998 
10 24 6 224 12998 
10 24 21 224 12998 
10 24 36 224 12998 
10 24 51 224 12998 
10 25 6 224 12998 
10 25 21 224 12998 
10 25 36 224 12998 
10 25 51 224 12998 
10 26 6 224 12998 
10 26 21 224 12998 
10 26 36 224 12998 
10 26 51 224 12998 
10 27 6 224 12998 
10 27 21 224 12998 
10 27 36 224 12998 
10 27 51 224 12998 
10 28 6 224 12998 
10 28 21 224 12998 
10 28 36 224 12998 
10 28 51 224 12998 
10 29 6 224 12998 
10 29 21 224 12998 
10 29 36 224 12998 
10 29 51 224 12998 
10 30 6 224 12998 
10 30 21 224 12998 
10 30 36 224 12998 
10 30 51 224 12998 
10 31 6 224 12998 
10 31 21 224 12998 
10 31 36 224 12998 
10 31 51 224 12998 
10 32 6 224 12998 
10 32 21 224 12998 
10 32 36 224 12998 
10 32 51 224 12998 
10 33 6 224 12998 
10 33 21 224 12998 
10 33 36 224 12998 
10 33 51 224 12998 
10 34 6 224 12998 
10 34 21 224 12998 
10 34 36 224 12998 
10 34 51 224 12998 
10 35 6 223 12998 
10 35 21 224 12998 
10 35 36 224 12998 
10 35 51 224 12998 
10 36 6 224 12998 
10 36 21 224 12998 
10 36 36 224 12998 
10 37 13 224 12998 
10 37 28 223 12998 
10 37 43 224 12998 
10 37 58 224 12998 
10 38 13 224 12998 
10 38 28 224 12998 
10 38 43 224 12998 
10 38 58 224 12998 
10 39 13 224 12998 
10 39 28 224 12998 
10 39 43 224 12998 
10 39 58 224 12998 
10 40 13 224 12998 
10 40 28 224 12998 
10 40 43 224 12998 
10 40 58 224 12998 
10 41 13 224 12998 
10 41 28 224 12998 
10 41 43 224 12998 
10 41 58 224 12998 
10 42 13 224 12998 
10 42 28 224 12998 
10 42 43 224 12998 
10 42 58 224 12998 
10 43 13 224 12998 
10 43 28 224 12998 
10 43 43 224 12998 
10 43 58 224 12998 
10 44 13 224 12998 
10 44 28 224 12998 
10 44 43 224 12998 
10 44 58 224 12998 
10 45 13 224 12998 
10 45 28 224 12998 
10 45 43 224 12998 
10 45 58 224 12998 
10 46 13 224 12998 
10 46 28 224 12998 
10 46 43 224 12998 
10 46 58 224 12998 
10 47 13 224 12998 
10 47 28 224 12998 
10 47 43 224 12998 
10 47 58 224 12998 
10 48 13 223 12998 
10 48 28 224 12998 
10 48 43 224 12998 
10 48 58 224 12998 
10 49 13 224 12998 
10 49 28 224 12998 
10 49 43 224 12998 
10 49 58 224 12998 
10 50 13 224 12998 
10 50 28 224 12998 
10 50 43 224 12998 
10 50 58 224 12998 
10 51 13 224 12998 
10 51 28 224 12998 
10 51 43 224 12998 
10 52 20 224 12998 
10 52 35 224 12998 
10 52 50 224 12998 
10 53 5 224 12998 
10 53 20 223 12998 
10 53 35 224 12998 
10 53 50 224 12998 
10 54 5 224 12998 
10 54 20 224 12998 
10 54 35 224 12998 
10 54 50 224 12998 
10 55 5 224 12998 
10 55 20 224 12998 
10 55 35 224 12998 
10 55 50 224 12998 
10 56 5 224 12998 
10 56 20 224 12998 
10 56 35 224 12998 
10 56 50 224 12998 
10 57 5 224 12998 
10 57 20 224 12998 
10 57 35 224 12998 
10 57 50 224 12998 
10 58 5 224 12998 
10 58 20 224 12998 
10 58 35 224 12998 
10 58 50 224 12998 
10 59 5 224 12998 
10 59 20 224 12998 
10 59 35 224 12998 
10 59 50 224 12998 
11 0 5 224 12998 
11 0 20 224 12998 
11 0 35 224 12998 
11 0 50 224 12998 
11 1 5 224 12998 
11 1 20 223 12998 
11 1 35 224 12998 
11 1 50 224 12998 
11 2 5 224 12998 
11 2 20 224 12998 
11 2 35 224 12998 
11 2 50 224 12998 
11 3 5 224 12998 
11 3 20 224 12998 
11 3 35 224 12998 
11 3 50 224 12998 
11 4 5 224 12998 
11 4 20 224 12998 
11 4 35 224 12998 
11 4 50 224 12998 
11 5 5 224 12998 
11 5 20 224 12998 
11 5 35 224 12998 
11 5 50 224 12998 
11 6 5 224 12998 
11 6 20 224 12998 
11 6 35 224 12998 
11 6 50 224 12998 
11 7 27 224 12998 
11 7 42 223 12998 
11 7 57 224 12998 
11 8 12 224 12998 
11 8 27 224 12998 
11 8 42 224 12998 
11 8 57 224 12998 
