0,10,-50
21,10.2,-48.9
51,8.5,-47.3
81,7.1,-45.9
111,6.3,-44.9
141,5.1,-39
171,5.2,-37.7
201,2,-35
231,0.6,-33.6
261,0.7,-33.2
291,0.1,-32.3
321,359.5,-31.7
351,0,-30.6
